Interfacial Functional Layer,Original Submitted Term,Verdict (DROP / KEEP / REWRITE),WG3-Rewritten / Accepted Term Label,Why this term matters (simple),RSAM Anchor (Trigger → Performance),Contributor (original),Contributor discipline/sector,Contributor(s) of similar/anchor proposal,Humanities & Social Sciences,Technology & Engineering,Port Management & Economics,Planning & Transportation,Source field,Submitted definition (as provided),Submission date/time
Boundary & Translation (Interpretation),Cold Ironing,KEEP,On-Shore Power Supply (OPS) / Cold Ironing,"Material, sensed intervention at berth; direct RSAM chain to mitigation and grid planning",Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Mosè Rossi,"Mechanical engineering, energy systems and fluid machines",,HSS,T&E,,,Term 1 and description,"The supply of electricity from the onshore grid to ships at berth, allowing onboard generators to be switched off. It reduces local air pollution (NOₓ, SOₓ, PM) and CO₂ emissions, but requires significant grid upgrades and standardization.",15/01/2026 12.50.04
Performance & Design (Action),Port Energy Hub,KEEP,Port-Based Energy / Hydrogen Hub,"Port as multi-vector node; high contestation potential (space, risk, jobs, benefits)","Trigger: new energy facility siting cues → Translation: risk/benefit negotiation → Performance: design, siting, safety, governance",Mosè Rossi,"Mechanical engineering, energy systems and fluid machines",,HSS,T&E,PM&E,,Term 2 and description,"A conceptual and technical framework in which the port operates as a multi-vector energy node, integrating electricity, hydrogen, heat, fuels, and storage to optimize production, conversion, and consumption across maritime and urban users.",15/01/2026 12.50.04
Boundary & Translation (Interpretation),Multi,REWRITE,Multi (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Mosè Rossi,"Mechanical engineering, energy systems and fluid machines",,HSS,,,,Term 3 and description,"Energy System: An integrated system that combines multiple energy carriers (electricity, gas, hydrogen, heat) and conversion technologies (electrolyzers, fuel cells, heat pumps), enabling higher efficiency and flexibility in port energy systems.",15/01/2026 12.50.04
Performance & Design (Action),Energy Storage Systems,REWRITE,Port-Based Energy Storage (siting/safety conflicts),"Generic unless tied to siting, risk perception and planning",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Mosè Rossi,"Mechanical engineering, energy systems and fluid machines",Francesca Savoldi,HSS,T&E,,,Term 4 and description,"Technologies such as batteries, hydrogen storage, thermal storage, or pumped hydro that provide flexibility, peak shaving, and resilience in port energy networks with high renewable penetration.",15/01/2026 12.50.04
Performance & Design (Action),Grid Congestion,KEEP,Grid Congestion (OPS/Electrification-induced),Key bottleneck translating infrastructure plans into contested impacts,Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Mosè Rossi,"Mechanical engineering, energy systems and fluid machines",,HSS,T&E,PM&E,,Term 5 and description,"A condition where electricity network capacity is insufficient to meet demand, often exacerbated in ports by cold ironing, electrified cranes, and electric vehicles, making grid reinforcement or flexibility solutions essential.",15/01/2026 12.50.04
Boundary & Translation (Interpretation),Auxiliary Engine Load Factor,REWRITE,Auxiliary Engine Load Factor (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Alper Seyhan,Maritime Transportation Engineering,,HSS,,,,Term 1 and description,The ratio between actual auxiliary engine power usage and its rated capacity during port operations for ships.,15/01/2026 13.53.09
Boundary & Translation (Interpretation),Cold Ironing Utilisation Rate,KEEP,On-Shore Power Supply (OPS) / Cold Ironing,"Material, sensed intervention at berth; direct RSAM chain to mitigation and grid planning",Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Alper Seyhan,Maritime Transportation Engineering,,HSS,T&E,,,Term 2 and description,The proportion of time or number of port calls during which ships actively use shore power instead of onboard auxiliary engines.,15/01/2026 13.53.09
Performance & Design (Action),Microgrid,REWRITE,Port Microgrids (emissions/legitimacy implications),Needs territorial scope and governance translation,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Alper Seyhan,Maritime Transportation Engineering,,HSS,T&E,,,Term 3 and description,Based Emission Mitigation: The reduction of port emissions through locally generated renewable electricity supplied via an integrated microgrid system.,15/01/2026 13.53.09
Boundary & Translation (Interpretation),Shore Power System Capacity,KEEP,On-Shore Power Supply (OPS) / Cold Ironing,"Material, sensed intervention at berth; direct RSAM chain to mitigation and grid planning",Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Alper Seyhan,Maritime Transportation Engineering,,HSS,T&E,,,Term 4 and description,"The maximum electrical power that an onshore supply system can deliver to berthed vessels, determined by ship demand profiles, berth configuration, and grid constraints.",15/01/2026 13.53.09
Performance & Design (Action),Renewable,REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Alper Seyhan,Maritime Transportation Engineering,,HSS,,,P&T,Term 5 and description,Driven Shore Power Architecture: A shore power system designed around renewable generation rather than grid electricity as its primary energy source.,15/01/2026 13.53.09
Boundary & Translation (Interpretation),Port,REWRITE,Port (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Alper Seyhan,Maritime Transportation Engineering,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Add more terms and their descriptions,Level Energy Autonomy: The capability of a port to meet its electricity demand independently from the national grid through local generation and storage.,15/01/2026 13.53.09
Boundary & Translation (Interpretation),Port Energy Transition,REWRITE,Port Energy Transition (PCT-situated),Potentially relevant but needs explicit PCT anchoring and RSAM translation,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Anas Alamoush,Maritime Energy Management,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 1 and description,"The shift of ports from fossil-based energy systems toward low- and zero-carbon energy sources, technologies, and operational practices",15/01/2026 14.01.05
