record_pk,canonical_record_id,preferred_identifier,source_type_code,source_type_label,qmbd_axis_code,qmbd_axis_label,record_origin_code,record_origin_label,title,doi,source_id
record_pk_8c688d042476deaa,10.1002/2688-8319.70039/v1/review1,10.1002/2688-8319.70039/v1/review1,1,literature_record,-98,Not extracted,3,LIVE_API,"Review for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?""",10.1002/2688-8319.70039/v1/review1,crossref:10.1002/2688-8319.70039/v1/review1
record_pk_b89190f21984abaf,10.1002/2688-8319.70039/v3/decision1,10.1002/2688-8319.70039/v3/decision1,1,literature_record,-98,Not extracted,3,LIVE_API,"Decision letter for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?""",10.1002/2688-8319.70039/v3/decision1,crossref:10.1002/2688-8319.70039/v3/decision1
record_pk_155cbb3360204847,10.1002/9780470693919.ch14,10.1002/9780470693919.ch14,1,literature_record,-98,Not extracted,3,LIVE_API,"Marine Protected Areas, Fish and Fisheries",10.1002/9780470693919.ch14,crossref:10.1002/9780470693919.ch14
record_pk_cab2ad0b6ac6d0db,10.1002/9780470697597.ch5,10.1002/9780470697597.ch5,1,literature_record,-98,Not extracted,3,LIVE_API,Marine Recreational Fisheries Management Challenges and Marine Protected Areas: Comparison Between the Mediterranean and Australia,10.1002/9780470697597.ch5,crossref:10.1002/9780470697597.ch5
record_pk_5084a1f0452d3a02,10.1002/9781118371220.ch1,10.1002/9781118371220.ch1,1,literature_record,-98,Not extracted,3,LIVE_API,Elements of Sustainability and Bioremediation,10.1002/9781118371220.ch1,crossref:10.1002/9781118371220.ch1
record_pk_77f2c9029d2d57fd,10.1002/9781118476406.emoe200,10.1002/9781118476406.emoe200,1,literature_record,-98,Not extracted,3,LIVE_API,Port Logistics and Hinterland Development,10.1002/9781118476406.emoe200,crossref:10.1002/9781118476406.emoe200
record_pk_76186bf09df24f9e,10.1002/9781119014492.ch11,10.1002/9781119014492.ch11,1,literature_record,-98,Not extracted,3,LIVE_API,The Economics of Wave and Tidal Energy,10.1002/9781119014492.ch11,crossref:10.1002/9781119014492.ch11
record_pk_a4af7484a4e5bd6b,10.1002/9781119014492.ch3,10.1002/9781119014492.ch3,1,literature_record,-98,Not extracted,3,LIVE_API,Wave Energy Technology,10.1002/9781119014492.ch3,crossref:10.1002/9781119014492.ch3
record_pk_3f413ae7ae62b00e,10.1002/9781119014492.ch4,10.1002/9781119014492.ch4,1,literature_record,-98,Not extracted,3,LIVE_API,Tidal Energy Technology,10.1002/9781119014492.ch4,crossref:10.1002/9781119014492.ch4
record_pk_f4d212615cb55f9f,10.1002/9781119014492.epil,10.1002/9781119014492.epil,1,literature_record,-98,Not extracted,3,LIVE_API,Epilogue: The Future of Wave and Tidal Energy,10.1002/9781119014492.epil,crossref:10.1002/9781119014492.epil
record_pk_76a12501d5825516,10.1002/9781119075806.ch1,10.1002/9781119075806.ch1,1,literature_record,-98,Not extracted,3,LIVE_API,From Marine Protected Areas to MPA Networks,10.1002/9781119075806.ch1,crossref:10.1002/9781119075806.ch1
record_pk_3241245f0008be9d,10.1002/9781119075806.ch5,10.1002/9781119075806.ch5,1,literature_record,-98,Not extracted,3,LIVE_API,Marine Protected Areas as Spatial Protection Measures under the Marine Strategy Framework Directive,10.1002/9781119075806.ch5,crossref:10.1002/9781119075806.ch5
record_pk_f940b3f84adfe00a,10.1002/9781119202912.ch3,10.1002/9781119202912.ch3,1,literature_record,-98,Not extracted,3,LIVE_API,Supply Chain Metrics: Measuring Up to High Standards,10.1002/9781119202912.ch3,crossref:10.1002/9781119202912.ch3
record_pk_c70d9fba75e05913,10.1002/9781119451396.app1,10.1002/9781119451396.app1,1,literature_record,-98,Not extracted,3,LIVE_API,Classical Marine Bioprospecting: Biochemistry and Genetic Engineering,10.1002/9781119451396.app1,crossref:10.1002/9781119451396.app1
record_pk_2df1f8ce824d3291,10.1002/9781119451396.app2,10.1002/9781119451396.app2,1,literature_record,-98,Not extracted,3,LIVE_API,Modern Marine Bioprospecting: Metagenomics,10.1002/9781119451396.app2,crossref:10.1002/9781119451396.app2
record_pk_611d718a59e8c396,10.1002/9781119511847.ch18,10.1002/9781119511847.ch18,1,literature_record,-98,Not extracted,3,LIVE_API,Fisheries and Marine Protected Areas,10.1002/9781119511847.ch18,crossref:10.1002/9781119511847.ch18
record_pk_0ddccbdd3242cc1c,10.1002/9781119738275.ch3,10.1002/9781119738275.ch3,1,literature_record,-98,Not extracted,3,LIVE_API,Supply Chain Metrics,10.1002/9781119738275.ch3,crossref:10.1002/9781119738275.ch3
record_pk_78aa3b86ab36c83a,10.1002/9781394237029.ch18,10.1002/9781394237029.ch18,1,literature_record,-98,Not extracted,3,LIVE_API,Policy and Governance Approaches for Coastal and Marine Pollution Management,10.1002/9781394237029.ch18,crossref:10.1002/9781394237029.ch18
record_pk_e57a78b718e05011,10.1002/9781394334599.ch4,10.1002/9781394334599.ch4,1,literature_record,-98,Not extracted,3,LIVE_API,Digital Twin Approach Toward Modern Power Systems,10.1002/9781394334599.ch4,crossref:10.1002/9781394334599.ch4
record_pk_2df0a5915dc3b4e5,10.1002/cite.201600079,10.1002/cite.201600079,1,literature_record,-98,Not extracted,3,LIVE_API,Reactive Extraction and Critical Raw Materials: Industrial Recovery of Tungsten,10.1002/cite.201600079,crossref:10.1002/cite.201600079
record_pk_1fb081023229f70c,10.1002/cssc.202401170,10.1002/cssc.202401170,1,literature_record,-98,Not extracted,3,LIVE_API,From Critical Raw Materials to Circular Raw Materials,10.1002/cssc.202401170,crossref:10.1002/cssc.202401170
record_pk_c8542e627126af63,10.1002/eet.1743,10.1002/eet.1743,1,literature_record,-98,Not extracted,3,LIVE_API,"Contemporary Challenges in Environmental Governance: Technology, governance and the social licence",10.1002/eet.1743,crossref:10.1002/eet.1743
record_pk_79bfb6c549f443a7,10.1002/essoar.10502705.2,10.1002/essoar.10502705.2,1,literature_record,-98,Not extracted,3,LIVE_API,The political complexity of coastal flood risk reduction: lessons for climate adaptation public works in the U.S.,10.1002/essoar.10502705.2,crossref:10.1002/essoar.10502705.2
record_pk_fa9958ea4c25d822,10.1002/gdj3.120,10.1002/gdj3.120,1,literature_record,-98,Not extracted,3,LIVE_API,Geoscience data publication: Practices and perspectives on enabling the FAIR guiding principles,10.1002/gdj3.120,crossref:10.1002/gdj3.120
record_pk_2c129806329de88c,10.1002/sd.70183,10.1002/sd.70183,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,Social impact assessment for blue economy projects: Toward Sustainable Development in the Ocean: A Framework for Blue Econ,,10.1002/sd.70183
record_pk_4dd6f8b2b50c0042,10.1002/we.2871,10.1002/we.2871,1,literature_record,-98,Not extracted,3,LIVE_API,Norwegian offshore wind power—Spatial planning using multi‐criteria decision analysis,10.1002/we.2871,crossref:10.1002/we.2871
record_pk_122b9fc766f323c3,10.1002/we.2871/v1/review2,10.1002/we.2871/v1/review2,1,literature_record,-98,Not extracted,3,LIVE_API,"Review for ""Norwegian offshore wind power-Spatial planning using multi-criteria decision analysis""",10.1002/we.2871/v1/review2,crossref:10.1002/we.2871/v1/review2
record_pk_c0548fee6340e478,10.1007/1-4020-3778-3_10,10.1007/1-4020-3778-3_10,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,Indigenous and traditional fishing rights advocacy: A comparative analysis of two forms of stakeholder participation in Eu,,10.1007/1-4020-3778-3_10
record_pk_81ae35be18b352ec,10.1007/1-4020-3778-3_6,10.1007/1-4020-3778-3_6,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,"Indigenous and traditional fishing rights advocacy: Fisheries Governance, Social Justice and Participatory Decision-Making",,10.1007/1-4020-3778-3_6
record_pk_8aacbc24ed80a1a2,10.1007/1-4020-4693-6_3,10.1007/1-4020-4693-6_3,1,literature_record,-98,Not extracted,3,LIVE_API,Accounting standards for supply chains,10.1007/1-4020-4693-6_3,crossref:10.1007/1-4020-4693-6_3
