evaluation_dimension,current_repository_implementation,repository_evidence,current_strength,current_limitation,paid_contextual_layer_required_addition,validation_metric,proposed_acceptance_threshold,decision_role,hypothesis_alignment
protocol_governance,Typed six-family live query protocol and authoritative H1-H3 registry,config/live_query_protocol.yml|src/scientific_sources/live_query_protocol.py,Strong reproducible design,Registry quality still requires scientific maintenance,No replacement needed; contextual system must consume this contract,schema validation and protocol coverage,100% declared sectors/families/hypotheses validated,retain current backbone,H1 MARITIME-OCEANIC; H2 HYDRONIZATION; H3 MARINE-OCEANIC
acquisition_audit,Protocol projection constraint ledger and per-query/provider audit,scripts/export_live_research_records.py|src/scientific_sources/live_run_audit.py|.github/workflows/full-live-analysis.yml,Strong provenance and constraint visibility,Some provider filters may be post-fetch or unsupported,Vendor must expose request/filter/pagination diagnostics,applied-vs-requested filter rate,all unsupported filters explicit,retain current backbone,indirect
evidence_identity,DOI-title-provider source identity cumulative provenance and Jaccard duplicate groups,src/scientific_sources/cumulative_scientific_database.py,Strong and auditable,Near-duplicate thresholds remain heuristic,Contextual layer should not replace identity logic,identity precision and duplicate crosswalk accuracy,no regression from deterministic baseline,retain current backbone,all hypotheses
semantic_surfaces,Title subject abstract and legally retained full text; query text provenance-only,src/scientific_sources/cumulative_scientific_database.py,Scientifically conservative evidence boundary,Coverage depends on legally retained text availability; vendor transmission requires explicit licensing,Contextual layer may use only records with explicit third-party processing rights (CC-BY/CC-0 or vendor contract text-mining clause),evidence-span coverage fabricated-link rate and unsupported-link rate,100% span grounding; 0% fabricated links; <1% unsupported non-fabricated links,hard gate,all hypotheses
explicit_phrase_extraction,Versioned deterministic keyword and indicator matching,src/scientific_sources/cumulative_scientific_database.py|config/live_query_protocol.yml,Transparent and exactly replayable,Misses paraphrase and implicit claims,Semantic paraphrase extraction with exact spans,precision recall macro-F1 with 95% CI lower bounds,lower 95% CI: precision >=0.90 and macro-F1 gain >=0.10,pilot criterion,all hypotheses
negation_modality,No complete dedicated proposition-level negation/modality model,current Layer 3 scanner,Limited,May misread denied hypothetical historic or cited claims,Classify assertion negation uncertainty recommendation background and result,negation and modality accuracy,>=0.90,high-value contextual addition,H1-H3 direction
relation_extraction,Signals retain evidence sector axis type and phrase but not a full semantic relation graph,Layer 3 and hypothesis fragment outputs,Moderate structured traceability,Actor-task-competence-technology-governance relations remain shallow,Span-grounded relation tuples,relation-tuple F1,pre-register by relation; target >=0.80 macro-F1,high-value contextual addition,especially H2 and credential translation
cross_sentence_context,Evidence text can include abstract/full text but matching remains phrase-oriented,src/scientific_sources/cumulative_scientific_database.py,Limited document context,Cannot reliably connect methods results limitations and conclusions without demonstration,Controlled cross-sentence evidence composition (requires benchmark validation),human adjudicated claim accuracy with dev/eval split,improvement over expanded deterministic baseline on held-out evaluation set,pilot criterion,all hypotheses
h1,Signed Cohen's d for MARITIME versus OCEANIC plus matched H1 fragment count,src/scientific_sources/derived_competence_analysis.py|config/live_query_protocol.yml,Directionally correct diagnostic,Depends on upstream signal validity and demand model,Contextual support/contradiction labels with spans; must not alter axis contrast,direction agreement and fragment precision,>=0.90 direction agreement,hard gate,H1 MARITIME vs OCEANIC
h2,HYDRONIZATION demand-level missing validated EQF 6-7 supply; candidates separated,src/scientific_sources/derived_competence_analysis.py|config/live_query_protocol.yml,Scientifically conservative supply semantics,Validated supply map may be unavailable; extracted demand relations can be incomplete,Extract demand-to-credential and demand-to-EQF relations with evidence,relation F1 and false validated-supply rate,zero candidate-as-validated errors,hard gate,H2 HYDRONIZATION
h3,MARINE/OCEANIC matched-fragment balance and evidence/signal bridge overlap,src/scientific_sources/derived_competence_analysis.py|src/scientific_sources/cumulative_scientific_database.py,Aligned with fragment-level bridge concept,Lexical registries can miss semantic bridges,Contextual bridge detection with exact shared evidence spans,bridge precision recall and direction agreement,>=0.90 direction agreement; span grounding 100%,hard gate,H3 MARINE-OCEANIC
novelty_recurrence,Stable evidence/signal identities repeated/duplicate exclusions and query/provider diversity,src/scientific_sources/cumulative_scientific_database.py|scripts/compute_live_novelty_metrics.py,Strong,Classifier-version changes require careful historical comparison,Contextual outputs need stable versioned semantic identities,false-new rate across frozen repeat runs,no false novelty on identical frozen replay,retain current backbone,all hypotheses
confidence_review,Deterministic location-based confidence and manual-review states,src/scientific_sources/cumulative_scientific_database.py|src/scientific_sources/derived_competence_analysis.py,Transparent but not empirically calibrated,Score is not a probability of correctness,Calibrated probabilities plus conservative review queue,ECE Brier score review minutes,calibration reported; >=30% review-time reduction,pilot criterion,all hypotheses
learning_outcomes_credentials,Evidence-linked candidate outcomes and candidate-vs-validated coverage states,src/scientific_sources/derived_competence_analysis.py,Good non-overclaiming foundation,Outcome wording and relations are still templated,Generate structured candidates only with evidence spans and EQF rationale,expert acceptance rate and unsupported-claim rate,no fabricated evidence; candidate status preserved,controlled augmentation,especially H2
reproducibility_packaging,Manifests checksums current-run guards reports and release ZIP,scripts/build_live_cumulative_release_package.py|scripts/build_statistical_research_report.py,Strong publication governance,External model reproducibility and vendor retention may be weak,Record model prompt schema settings hashes and replay metadata,repeat-run structured agreement,>=0.95 on frozen inputs,hard gate,all hypotheses
cost_value,Current deterministic extraction has low marginal runtime cost,repository Python pipeline,Cost-efficient baseline,Manual review and low recall may dominate total cost,Paid layer must reduce adjudication time and improve valid recall,cost per adjudicated accepted signal,below pre-approved budget ceiling and >=30% time saving,scale/no-scale decision,all hypotheses
