Period,Programme,Project ID (2021-2027 only),Project acronym,Project name,Description,Expected Achievements,Project start,Project end,Relevant mentions and prizes,Project's total budget / expenditure,Project's EU funding,Union co-financing rate,Contributing EU funds,Programme specific objective (2021-2027 only),Type of intervention (2021-2027 only),Programme Priority (2021-2027 only),Operation of strategic importance (OSI) or project above EUR 5 million,Policy Objective (Interreg Specific Objective),Theme 1,Theme 2,Theme 3,Number of Partners,ERDF Contribution (amount),ERDF Contribution (co-financing rate),ERDF equivalent (amount ),ERDF equivalent (co-financing rate ),ERDF equivalent (source ),Delivered output indicators (2021-2027 only),Delivered result indicators (2021-2027 only),European Union MRSs to which the project contributes,Website,Project is Small Project (2021-2027 only),Call serial number
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#S021,3I solutions for PS,"Enabling better public services in BSR with immersive, intelligent and innovative solutions","Today's public sector institutions face a number of challenges that are not different to the most organizations: resources' shortage, digitalization, cost pressure, data management, communications, hybrid type of work, supply change disruptions etc. Nevertheless, weak modernization skills, lack of readiness and flexibility for technology shift, slow and low-quality innovation management and inability to adapt modern technical solutions are obstacles for the improvement of public services. They are typically conservative, cannot afford any risks and therefore tend to keep using conventional way of doing things rather than to look for a new one. The project develops solutions, processes and practices to help public organizations to foster innovations. 
The project forms positive innovation management practices in BSR by the piloting of scalable extended reality (XR) technology implementation and hackathon organization that both bring positive and measurable outputs for investment attraction, communications and other public services. 
At the methodological level the project activities also include the generalization of the experience, knowledge transfer and lessons learnt dissemination. The result is given the form of the roadmap for successful innovation management in public sector in the form of manual, handbook and hybrid training course. The project builds new partnerships and capacities, creates good practices for dissemination in the BSR.","Today's public sector institutions face a number of challenges that are not different to the most organizations: resources' shortage, digitalization, cost pressure, data management, communications, hybrid type of work, supply change disruptions etc. Nevertheless, weak modernization skills, lack of readiness and flexibility for technology shift, slow and low-quality innovation management and inability to adapt modern technical solutions are obstacles for the improvement of public services. They are typically conservative, cannot afford any risks and therefore tend to keep using conventional way of doing things rather than to look for a new one. The project develops solutions, processes and practices to help public organizations to foster innovations. 
The project forms positive innovation management practices in BSR by the piloting of scalable extended reality (XR) technology implementation and hackathon organization that both bring positive and measurable outputs for investment attraction, communications and other public services. 
At the methodological level the project activities also include the generalization of the experience, knowledge transfer and lessons learnt dissemination. The result is given the form of the roadmap for successful innovation management in public sector in the form of manual, handbook and hybrid training course. The project builds new partnerships and capacities, creates good practices for dissemination in the BSR.",2023-08-01,2025-07-31,0.0,498400.0,398720.0,80%,ERDF,RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,"Governance, partnership",Knowledge and technology transfer,,5,398720.0,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/3i-solutions-for-ps/,False,S2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C038,APRIORA,Improved risk assessment for strategic water management to reduce micro-pollutant emissions in the Baltic Sea Region,"APRIORA tackles the need for a risk-based prioritisation of quaternary treatment at wastewater treatment plants (WWTP) to mitigate emission of micro-pollutants with focus on active pharmaceutical ingredients (API). Since WWTPs are the main emission pathway to the environment, the new proposal for Urban Wastewater Treatment Directive (UWWTD) demands a mandatory quaternary treatment to be implemented in all WWTP > 100.000 PE until 2030 and a risk-based prioritisation of advanced treatment for WWTP between 10.000-100.000 PE. Accordingly, regional environmental protection authorities (EPAs) in charge will have to prioritize risks and propose cost-effective mitigation measures for future investments in cooperation with WWTP operators. However, both target groups lack sufficient information, capacities and tools to do so: API emissions from WWTPs are not measured, concentrations in surface waters are only available on few selected monitoring sites; no consistent tools for the demanded risk assessment (RA) or à priori effect assessment of potential mitigation measures exist.
APRIORA addresses these deficits by providing a RA capacity program (1) combining effective monitoring, modelling and multi-criterial RA, an (2) open-source GIS environment, and (3) a capacity building programme to apply (1) + (2) in everyday working practices. Along with BSR-wide transfer + training activities, APRIORA contributes to an efficient strategic water management that improves the state of BSR waters.","APRIORA tackles the need for a risk-based prioritisation of quaternary treatment at wastewater treatment plants (WWTP) to mitigate emission of micro-pollutants with focus on active pharmaceutical ingredients (API). Since WWTPs are the main emission pathway to the environment, the new proposal for Urban Wastewater Treatment Directive (UWWTD) demands a mandatory quaternary treatment to be implemented in all WWTP > 100.000 PE until 2030 and a risk-based prioritisation of advanced treatment for WWTP between 10.000-100.000 PE. Accordingly, regional environmental protection authorities (EPAs) in charge will have to prioritize risks and propose cost-effective mitigation measures for future investments in cooperation with WWTP operators. However, both target groups lack sufficient information, capacities and tools to do so: API emissions from WWTPs are not measured, concentrations in surface waters are only available on few selected monitoring sites; no consistent tools for the demanded risk assessment (RA) or à priori effect assessment of potential mitigation measures exist.
APRIORA addresses these deficits by providing a RA capacity program (1) combining effective monitoring, modelling and multi-criterial RA, an (2) open-source GIS environment, and (3) a capacity building programme to apply (1) + (2) in everyday working practices. Along with BSR-wide transfer + training activities, APRIORA contributes to an efficient strategic water management that improves the state of BSR waters.",2023-11-01,2026-10-31,0.0,2400414.94,1920331.94,80%,ERDF,RSO2.5. Promoting access to water and sustainable water management,065 Waste water collection and treatment,(VI-B_BSR_2) Water smart societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Waste and pollution,Innovation capacity and awareness-raising,Water management,10,1920331.94,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/apriora/,False,C2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#S006,AdvIQwater,Improving quality of BSR waters by advanced treatment processes,"Worldwide, the number of people living along the coast is rapidly increasing, resulting in increased wastewater discharges, which is a major source of pharmaceuticals entering aquatic environments. Environmental pollution by active pharmaceutical ingredients has become a serious problem in the Baltic Sea Region. Pharmaceutical residues pertain mostly to marine waters and originate from discharges from municipal wastewater treatment plants and vessels. Despite the increasing presence of pharmaceuticals in marine environments and their potential negative impacts, little research has been reported on the occurrence and removal of these contaminants in the marine ecosystem. Moreover, widely distributed and bioaccumulative contaminants could adversely affect aquatic organisms. In this regard, complex mixtures of pharmaceuticals need to be considered regarding the impact on the environment and water treatment technology, focusing on the analysis of pollutant properties and potential. In the project, combination methods of the solar-driven photocatalysis, fungal treatment, and biofilms will be developed to pilot in order to introduce practical and durable outputs and solutions for sustainable waters.","Worldwide, the number of people living along the coast is rapidly increasing, resulting in increased wastewater discharges, which is a major source of pharmaceuticals entering aquatic environments. Environmental pollution by active pharmaceutical ingredients has become a serious problem in the Baltic Sea Region. Pharmaceutical residues pertain mostly to marine waters and originate from discharges from municipal wastewater treatment plants and vessels. Despite the increasing presence of pharmaceuticals in marine environments and their potential negative impacts, little research has been reported on the occurrence and removal of these contaminants in the marine ecosystem. Moreover, widely distributed and bioaccumulative contaminants could adversely affect aquatic organisms. In this regard, complex mixtures of pharmaceuticals need to be considered regarding the impact on the environment and water treatment technology, focusing on the analysis of pollutant properties and potential. In the project,  combination methods of the solar-driven photocatalysis, fungal treatment, and biofilms will be developed to pilot in order to introduce practical and durable outputs and solutions for sustainable waters. ",2022-10-01,2025-03-31,0.0,499989.0,399991.2,80%,ERDF,RSO2.5. Promoting access to water and sustainable water management,065 Waste water collection and treatment,(VI-B_BSR_2) Water smart societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Waste and pollution,Green technologies,Water management,4,399991.2,80%,,,,"RCO84 - Pilot actions developed jointly: 1
RCO87 - Organisations cooperating across borders: 12
RCO116 - Jointly developed solutions: 1","PSR1 - Organisations with increased institutional capacity: 20
RCR104 - Solutions taken up or upscaled: 1",EUSBSR,https://interreg-baltic.eu/project/adviqwater/,False,S1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C009,Arts on Prescription,Arts on Prescription in the Baltic Sea Region,"Arts on prescription is a concept to improve the mental well-being of citizens. The idea is that people with a diagnosed mental condition such as depression, stress or anxiety, or people at risk of developing such a condition (e.g. due to loneliness) get a prescription not for medicine or therapy, but for taking part in regular arts activities in group settings. This has been proven to have positive health effects.
The challenge that public authorities face when planning and implementing such a programme lies in the underdeveloped cooperation between the culture and health sector, the lack of knowledge on how to set up, organise and evaluate a programme and the lack of long-term financing. 

The partners of the project “Arts on Prescription in the Baltic Sea Region” will jointly develop a model programme that is based on state-of-the-art evidence and experience, but adaptable to different local conditions and public health systems. The programme will be piloted by local and regional public authorities in cooperation with cultural institutions and evaluated for its health effects, organisational set-up and economic benefits. 
The arts on prescription model is then transferred to other cities and regions who are supported with an online practitioner’s guide and a rent-an-expert programme. Moreover, the project will initiate a dialogue with national authorities and health insurance funds in order to improve the structural support and financing options for arts on prescription.","Arts on prescription is a concept to improve the mental well-being of citizens. The idea is that people with a diagnosed mental condition such as depression, stress or anxiety, or people at risk of developing such a condition (e.g. due to loneliness) get a prescription not for medicine or therapy, but for taking part in regular arts activities in group settings. This has been proven to have positive health effects.
The challenge that public authorities face when planning and implementing such a programme lies in the underdeveloped cooperation between the culture and health sector, the lack of knowledge on how to set up, organise and evaluate a programme and the lack of long-term financing. 

The partners of the project “Arts on Prescription in the Baltic Sea Region” will jointly develop a model programme that is based on state-of-the-art evidence and experience, but adaptable to different local conditions and public health systems. The programme will be piloted by local and regional public authorities in cooperation with cultural institutions and evaluated for its health effects, organisational set-up and economic benefits. 
The arts on prescription model is then transferred to other cities and regions who are supported with an online practitioner’s guide and a rent-an-expert programme. Moreover, the project will initiate a dialogue with national authorities and health insurance funds in order to improve the structural support and financing options for arts on prescription.",2023-01-01,2025-12-31,0.0,3511285.56,2809028.43,80%,ERDF,RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,Cultural heritage and arts,Health and social services,,13,2809028.43,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/arts-on-prescription/,False,C1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#S029,BAB,Bike across the Baltic - Improving bicycle tourism around the Baltic Sea,"The EuroVelo 10-route covers all the BSR countries. Traveling around the Baltic Sea sustainably using only public transportation and cycling, particularly as a tourist, is however difficult. 
 
Route development and improvement is carried out primarily by regional and local public authorities. However, public authorities have different levels of capacity to develop the route – leading to uneven and fragmented development of EV

10. This hinders SMEs and NGOs from being able to effectively work to develop cycle tourism along EV10 to its full potential. There is a lack of trans-Baltic cooperation amongst regions and fragmented cooperation between transport and tourism stakeholders which further hinders route development and opportunities for inter-modal transportation. Information is not available to citizens and visitors to the region on the current opportunities for inter-modal transport along the route, both within and between regions. 
 
The project will strengthen public authorities' organisational capacity to develop and improve the EV10 route by developing a benchmarking tool and policy recommendations for cycle tourism development. The project will offer opportunities for improved inter-and transnational cooperation through co-creation and peer learning workshops. 
 
Well-developed sustainable transnational cycle tourism routes with public transport connections can contribute to the connectivity and accessibility of the Baltic Sea region for citizens and visitors.","The EuroVelo 10-route covers all the BSR countries. Traveling around the Baltic Sea sustainably using only public transportation and cycling, particularly as a tourist, is however difficult.  
  
Route development and improvement is carried out primarily by regional and local public authorities. However, public authorities have different levels of capacity to develop the route – leading to uneven and fragmented development of EV10. This hinders SMEs and NGOs from being able to effectively work to develop cycle tourism along EV10 to its full potential. There is a lack of trans-Baltic cooperation amongst regions and fragmented cooperation between transport and tourism stakeholders which further hinders route development and opportunities for inter-modal transportation. Information is not available to citizens and visitors to the region on the current opportunities for inter-modal transport along the route, both within and between regions.  
  
The project will strengthen public authorities' organisational capacity to develop and improve the EV10 route by developing a benchmarking tool and policy recommendations for cycle tourism development. The project will offer opportunities for improved inter-and transnational cooperation through co-creation and peer learning workshops. 
 
Well-developed sustainable transnational cycle tourism routes with public transport connections can contribute to the connectivity and accessibility of the Baltic Sea region for citizens and visitors.
",2023-08-01,2025-07-31,0.0,499590.0,399672.0,80%,ERDF,"RSO2.8. Promoting sustainable multimodal urban mobility, as part of transition to a net zero carbon economy","173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_3) Climate-neutral societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Tourism,Transport and mobility,,6,399672.0,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/bab/,False,S2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C063,BALTFLOODS,Baltic Flood Resilience and Digital Solutions,"BALTFLOODS aims to enhance flood preparedness and mitigate runoff pollution in cities across the Baltic Sea region by leveraging digital and technological solutions and engaging citizens as key stakeholders. The project addresses three main challenges aligned with the thematic scope of Priority 1 of the Interreg Baltic Sea Region Programme, particularly Objective 

1.

2. Firstly, BALTFLOODS will improve disaster preparedness and response to floods by implementing advanced monitoring systems that provide real-time data for timely interventions, benefiting local and national public authorities, infrastructure owners, and service providers. Secondly, the project will decrease the discharge of polluted stormwater, thus enhancing environmental quality and public health. This involves monitoring water quality through innovative approaches that support environmental and public health goals. Thirdly, BALTFLOODS will increase community engagement in flood and water pollution issues through participatory tools, empowering citizens and educational institutions to take an active role in environmental stewardship. By fostering a well-informed and proactive community, the project builds societal resilience to environmental threats. Transnational cooperation will be essential to facilitate knowledge exchange, policy alignment, and resource pooling to enhance the scalability and sustainability of the solutions, ultimately benefiting urban populations and the Baltic Sea Region ecosystem.","BALTFLOODS aims to enhance flood preparedness and mitigate runoff pollution in cities across the Baltic Sea region by leveraging digital and technological solutions and engaging citizens as key stakeholders. The project addresses three main challenges aligned with the thematic scope of Priority 1 of the Interreg Baltic Sea Region Programme, particularly Objective 1.2. Firstly, BALTFLOODS will improve disaster preparedness and response to floods by implementing advanced monitoring systems that provide real-time data for timely interventions, benefiting local and national public authorities, infrastructure owners, and service providers. Secondly, the project will decrease the discharge of polluted stormwater, thus enhancing environmental quality and public health. This involves monitoring water quality through innovative approaches that support environmental and public health goals. Thirdly, BALTFLOODS will increase community engagement in flood and water pollution issues through participatory tools, empowering citizens and educational institutions to take an active role in environmental stewardship. By fostering a well-informed and proactive community, the project builds societal resilience to environmental threats. Transnational cooperation will be essential to facilitate knowledge exchange, policy alignment, and resource pooling to enhance the scalability and sustainability of the solutions, ultimately benefiting urban populations and the Baltic Sea Region ecosystem.",2025-03-01,2028-02-29,0.0,2034816.45,1147048.75,80%,ERDF,RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,ICT and digital society,Water management,Knowledge and technology transfer,7,1147048.75,80%,601005.49,50.0,Norway,,,EUSBSR,https://interreg-baltic.eu/project/baltfloods/,False,C3.2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#S022,BALTIC UKH,Urban Knowledge Hubs - Transformative Societal Spaces for Hybrid Libraries in the Baltic Sea Region,"BALTIC UKH responds to the growing need for spaces across the BSR where citizens can access and exchange reliable and comprehensible information. These spaces need to be open for digital and physical provision of information and services, and be connected to global information networks and local communities. Public entities&NGOs that provide information and related services are needed to design such innovative spaces that enable citizens to become digitally literate and well-informed. Digital literacy is a crucial competence for professional development and sociocultural participation, as well as in the fight against disinformation and propaganda. Importantly, engaging groups and individuals is a key to designing successful hybrid spaces for information provision and knowledge exchange, however, there are no standards or shortcuts for designing such spaces. The aim of the project is to provide public authorities and others with tools and methods for the participatory design of accessible and attractive informational spaces and services. Following the idea of Urban Knowledge Hubs (UKH) as a new space concept, the project’s main output will be a research-based toolbox for the conceptualisation and design of such hybrid information hubs. The toolbox will be adaptable for the needs of public authorities in urban and rural areas, as well as NGOs & higher education institutions. It will include best practices and will be made publicly available in 5 languages in all BSR countries.","BALTIC UKH responds to the growing need for spaces across the BSR where citizens can access and exchange reliable and comprehensible information. These spaces need to be open for digital and physical provision of information and services, and be connected to global information networks and local communities. Public entities&NGOs that provide information and related services are needed to design such innovative spaces that enable citizens to become digitally literate and well-informed. Digital literacy is a crucial competence for professional development and sociocultural participation, as well as in the fight against disinformation and propaganda. Importantly, engaging groups and individuals is a key to designing successful hybrid spaces for information provision and knowledge exchange, however, there are no standards or shortcuts for designing such spaces. The aim of the project is to provide public authorities and others with tools and methods for the participatory design of accessible and attractive informational spaces and services. Following the idea of Urban Knowledge Hubs (UKH) as a new space concept, the project’s main output will be a research-based toolbox for the conceptualisation and design of such hybrid information hubs. The toolbox will be adaptable for the needs of public authorities in urban and rural areas, as well as NGOs & higher education institutions. It will include best practices and will be made publicly available in 5 languages in all BSR countries.",2023-08-01,2025-07-31,0.0,494400.0,365280.0,80%,ERDF,RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,ICT and digital society,"Governance, partnership",Knowledge and technology transfer,4,365280.0,80%,37800.0,50.0,Norway,,,EUSBSR,https://interreg-baltic.eu/project/baltic-ukh/,False,S2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C021,BALTIPLAST,Baltic Approaches to Handling Plastic Pollution under a Circular Economy Context,"The project BALTIPLAST aims at prevention and reduction of plastic waste in the Baltic Sea Region, focusing on single use plastic reduction, improvements in plastic packaging and innovative collection and treatment systems at the municipality level. A consortium of partners from Germany, Sweden, Finland, Estonia, Latvia and Lithuania, will test concrete solutions at three levels of operation: Strategic and management; technological/technical; communication/behavior change. The project involves some key actors in the plastic waste value chain, primarily municipalities in the participating countries, as well as SMEs and large enterprises operating in the field of waste management. NGOs and interest groups will be involved, for the dissemination of results. It contributes to EU Strategy for the BSR, specifically to the Policy Area of Bio-economy, dwelling on responsible use of resources, changing mind-sets and consumer behavior, through cross-sectorial approaches, by up-scaling waste to integrate it to a circular economy, by testing public procurement models and integrating circular economy policies in the activities of the target groups. The project design is guided by co-creative innovation, through new schemes of collaboration in country clusters, as reflected in the Group of Activities, further transferring them to a transnational level. Ultimately, BALTIPLAST may provide a long term contribution to on-going efforts to reduce the plastic that enters the Baltic Sea Region.","The project BALTIPLAST aims at prevention and reduction of plastic waste in the Baltic Sea Region, focusing on single use plastic reduction, improvements in plastic packaging and innovative collection and treatment systems at the municipality level. A consortium of partners from Germany, Sweden, Finland, Estonia, Latvia and Lithuania, will test concrete solutions at three levels of operation: Strategic and management; technological/technical; communication/behavior change. The project involves some key actors in the plastic waste value chain, primarily municipalities in the participating countries, as well as SMEs and large enterprises operating in the field of waste management. NGOs and interest groups  will be involved, for the dissemination of results. It contributes to EU Strategy for the BSR, specifically to the Policy Area of Bio-economy, dwelling on responsible use of resources, changing mind-sets and consumer behavior, through cross-sectorial approaches, by up-scaling waste to integrate it to a circular economy, by testing public procurement models and integrating circular economy policies in the activities of the target groups. The project design is guided by co-creative innovation, through new schemes of collaboration in country clusters, as reflected in the Group of Activities, further transferring them to a transnational level. Ultimately,  BALTIPLAST may provide a long term contribution to on-going efforts to reduce the plastic that enters the Baltic Sea Region.",2023-01-01,2025-12-31,0.0,4273595.4,3418876.32,80%,ERDF,RSO2.6. Promoting the transition to a circular and resource efficient economy,"046 Support to entities that provide services contributing to the low carbon economy and to resilience to climate change, including awareness-raising measures",(VI-B_BSR_3) Climate-neutral societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Green technologies,SME and entrepreneurship,Waste and pollution,18,3418876.32,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/baltiplast/,False,C1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C001,BASCIL,Innovative Solutions for the Rural Food Production Sector to Diversify into Sustainable Culinary Tourism Services,"Small food producers in rural areas have experienced serious external disturbances because of the pandemic,rising energy prices and production costs etc. It has a strong impact on the resilience of the local food sector in rural areas. One of the solutions for small local food producers is the diversification of their business activity into the sustainable culinary tourism sector. Through integration of conventional small-scale food production with culinary tourism services it is possible to reach the end-customers directly and to get the highest value from selling the products using the shortest value chain. 
Local food producers need an innovative practical solution for culinary tourism service design meeting the specific needs and expectations of visitors in the post-pandemic era. The mixture of services can include farm tours, cooking workshops, degustations, pop-up cafes, seasonal farm restaurants, food boxes etc. The capacity of small producers to get enough visibility and attention in tourism market is usually very limited. Thus, they also need a solution for efficient marketing of joint tourism products in the format of regional gastro tours, culinary routes, regional food packages stimulating cross-selling etc
Across Europe the rural areas in BSR region are currently not very well known as a culinary tourism destination. Active involvement of food producers in culinary tourism is an excellent opportunity for making the region more visible and attractive for visitors.","Small food producers in rural areas have experienced serious external disturbances because of the pandemic,rising energy prices and production costs etc. It has a strong impact on the resilience of the local food sector in rural areas. One of the solutions for small local food producers is the diversification of their business activity into the sustainable culinary tourism sector. Through integration of conventional small-scale food production with culinary tourism services it is possible to reach the end-customers directly and to get the highest value from selling the products using the shortest value chain. 
Local food producers need an innovative practical solution for culinary tourism service design meeting the specific needs and expectations of visitors in the post-pandemic era. The mixture of services can include farm tours, cooking workshops, degustations, pop-up cafes, seasonal farm restaurants, food boxes etc. The capacity of small producers to get enough visibility and attention in tourism market is usually very limited. Thus, they also need a solution for efficient marketing of joint tourism products in the format of regional gastro tours, culinary routes, regional food packages stimulating cross-selling etc
Across Europe the rural areas in BSR region are currently not very well known as a culinary tourism destination. Active involvement of food producers in culinary tourism is an excellent opportunity for making the region more visible and attractive for visitors.",2023-01-01,2025-12-31,0.0,3348779.95,2389394.52,80%,ERDF,"RSO1.4. Developing skills for smart specialisation, industrial transition and entrepreneurship","173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,Tourism,,,17,2389394.52,80%,362036.8,50.0,Norway,,,EUSBSR,https://interreg-baltic.eu/project/bascil/,False,C1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C053,BATS,Baltic Sea region Active mobiliTy Solutions - in darkness and all weather conditions,"Active mobility is an accessible, healthy and green mode of transport. In the BSR' dark winters, with snow and rain, active mobility usage drops. To increase Year-Round Active Mobility (YRAM), suitable infrastructure and equipment must be in place, and citizens need to see it as an attractive and safe option. 

Public Authorities responsible for urban design, mobility planning and road maintenance do not currently give special consideration for YRAM. Out of tradition, mobility and road planning is still largely focused on cars, and cycling and walking planning typically targets daylight and warmer weather conditions. By learning about the benefits and opportunities, and accessing new tools and evidence-based recommendations on YRAM, planners can implement the right interventions to increase AM use all year round, contributing to low carbon mobility systems.

BATS supports local and regional authorities to design and implement policies, infrastructures and campaigns that effectively promote Year-Round Active Mobility (walking and cycling in adverse light and weather conditions). Our two solutions will be co-developed and tested in 7 BSR countries and transferred to neighbouring cities and regions. Solution 1: a YRAM Technical Toolkit, helps planners to Diagnose YRAM issues, develop Intervention Strategies and Monitor progress. Solution 2: a Citizen Activation Guide for YRAM helps planners understand and prioritise user groups, and deploy effective campaigns to promote AM use.","Active mobility is an accessible, healthy and green mode of transport. In the BSR' dark winters, with snow and rain, active mobility usage drops. To increase Year-Round Active Mobility (YRAM), suitable infrastructure and equipment must be in place, and citizens need to see it as an attractive and safe option. 

Public Authorities responsible for urban design, mobility planning and road maintenance do not currently give special consideration for YRAM. Out of tradition, mobility and road planning is still largely focused on cars, and cycling and walking planning typically targets daylight and warmer weather conditions. By learning about the benefits and opportunities, and accessing new tools and evidence-based recommendations on YRAM, planners can implement the right interventions to increase AM use all year round, contributing to low carbon mobility systems.

BATS supports local and regional authorities to design and implement policies, infrastructures and campaigns that effectively promote Year-Round Active Mobility (walking and cycling in adverse light and weather conditions). Our two solutions will be co-developed and tested in 7 BSR countries and transferred to neighbouring cities and regions. Solution 1: a YRAM Technical Toolkit, helps planners to Diagnose YRAM issues, develop Intervention Strategies and Monitor progress. Solution 2: a Citizen Activation Guide for YRAM helps planners understand and prioritise user groups, and deploy effective campaigns to promote AM use. ",2023-11-01,2026-10-31,0.0,3520368.54,2816294.79,80%,ERDF,"RSO2.8. Promoting sustainable multimodal urban mobility, as part of transition to a net zero carbon economy","173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_3) Climate-neutral societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Transport and mobility,"Governance, partnership",Urban development,14,2816294.79,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/bats/,False,C2
