"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Urban Marine Protected Areas and the Role of Blue Democracy Towards Healthy Coastal Cities","https://scispace.com/paper/urban-marine-protected-areas-and-the-role-of-blue-democracy-3jkkk0otrd","2023","Preprint","","Jeremy Anbleyth‐Evans
Simon J. Pittman
Aleke Stöfen-O′Brien","10.2139/ssrn.4516616","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses blue democracy to link urban planning, marine governance, and community action; treats oceans as active agents; examines coastal societies; integrates blue sociology, governance, and urban contexts into a unified framework.","Coastal cities produce the greatest intensity and diversity of environmental challenges to progress towards the UN Sustainable Development Goals and the Kunming-Montreal Global Biodiversity Framework. For centuries, cities have insufficiently recognised urban impacts to marine biodiversity and the importance of a clean, safe, and accessible ocean for human well-being. We conducted a global macro review of 200 coastal cities to identify injustice linked to marine pollution, the potential for local social mechanisms to address negative impacts and the occurrence of urban Marine Protected Areas (uMPAs). Using semi-structured interviews and participatory mapping, we develop three case studies (Chile, Panama and the United Kingdom) examine the influence of blue democracy on success in urban marine conservation and integrated planning in Chile, Panama and the United Kingdom. We highlight the challenges and enabling conditions for new participatory marine democratic systems to evolve at the urban-MPA planning nexus. Our global analysis reveals that only 7% of MPAs are within 1 km of urban centres with most MPAs situated far from cities where cumulative human impacts and conflict are typically less severe. Integrated urban-ocean planning is rare and MPAs are typically not considered as tools specifically to address water quality and access issues. Positive examples exist where urban communities have driven initiatives to strive towards conservation and to protect the marine environment from urban impacts. By exploring marine conservation through the framework of marine democracy we highlight how different assemblages of the public, social movements, environmental groups, and governance come together to realise positive socio-ecological outcomes. We highlight socio-political barriers and the importance of the empowerment of local urban communities in decisions. The transition to healthier blue democracy through new cultures of restorative reciprocity can develop through the implementation of uMPAs. We call for urgent action from cities worldwide to respond to their responsibility to provide healthy coastal environments for people and planet. "
"Blue Urbanism: Exploring Connections Between Cities & Oceans, by Timothy Beatley","https://scispace.com/paper/blue-urbanism-exploring-connections-between-cities-oceans-by-40wb55ve18","2014","Journal Article","Journal of The American Planning Association","Karen Bareford","10.1080/01944363.2014.998133","","- **Relevance Score:** 72/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses blue urbanism to link coastal planning with ocean sociology, examines governance and community practices, treats oceans as active agents, and weaves these themes into a unified framework.","In the preface to Blue Urbanism: Exploring Connections Between Cities & Oceans, Beatley acknowledges “Owe have virtually ignored oceans and marine environments in modern planning, policy, and desig..."
"Marine parks for coastal cities: A concept for enhanced community well-being, prosperity and sustainable city living","https://scispace.com/paper/marine-parks-for-coastal-cities-a-concept-for-enhanced-9td42v4e4g","2019","Journal Article","Marine Policy","Simon J. Pittman
Lynda D. Rodwell
Rebecca Shellock
Rebecca Shellock
Rebecca Shellock
M. Williams
Martin J. Attrill
Jacob Bedford
K. Curry
Stephen Fletcher
Stephen Fletcher
Sarah C. Gall
Jason Lowther
Abigail McQuatters-Gollop
K.L. Moseley
K.L. Moseley
Siân E. Rees","10.1016/J.MARPOL.2019.02.012","","- **Relevance Score:** 62/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses marine parks to link coastal city planning, community well‑being, and sustainable governance; frames oceans as active elements, discusses sea‑facing societies, and touches on hydrosocial ideas, though posthuman theory is not central.",""
"The transformation of the oceans and the future of marine social science","https://scispace.com/paper/the-transformation-of-the-oceans-and-the-future-of-marine-tjj5e431yh","2018","Journal Article","Maritime Studies","Peter Arbo
Maaike Knol
Sebastian Linke
Kevin St. Martin","10.1007/S40152-018-0117-5","https://scispace.com/pdf/the-transformation-of-the-oceans-and-the-future-of-marine-tjj5e431yh.pdf","- **Relevance Score:** 57/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses marine social science to map future research, linking ocean governance and coastal community dynamics; includes some posthuman and hydrosocial ideas, touches on urban‑coastal links, but integration of all elements is partial.","The oceans have become a juncture of great visions of blue growth as well as strong environmental concern. This paper discusses the essential role of the social sciences as the oceans increasingly emerge as a contested social arena. The marine social sciences have generated a vast knowledge about the development of fisheries and the implications of fisheries policies on coastal communities. We review this heritage and show that it makes the marine social sciences well qualified to address contemporary challenges raised by the increasing ambitions of exploiting and conserving the world’s oceans. However, with the current transformation of the oceans as sites of comprehensive industrialization, captured in the concept of blue growth, we argue that marine social scientists need to rethink their research objectives. This requires a reflection on the lessons learned from decades of engagement with fisheries and fisheries policy to understand and intervene in processes and practices of modernization, science-based management, and privatization of resources. We suggest how the marine social sciences can provide new knowledge and actively engage in current developments by studying emergent processes in the marine environment, and the institutions, practices, and discourses that shape them. The social sciences have a responsibility to contribute to growth and conservation issues, and are in the capacity to do so, through formulating governance alternatives, anticipating future trends, imagining desirable futures, and facilitating socially just processes and outcomes."
"The Contemporary Coast as an Urban Amphibious. The Complex Relationship Between City–Sea Interface and Urban Coastal Society After the COVID-19 Crisis","https://scispace.com/paper/the-contemporary-coast-as-an-urban-amphibious-the-complex-5beqtfeqv9","2024","Book Chapter","The urban book series","Ivan Pistone","10.1007/978-3-031-56607-3_5","","- **Relevance Score:** 57/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses urban‑amphibious concept to link coastal society, blue spaces, and city planning; touches on ocean agency and governance but lacks deep posthuman or policy analysis.","The contribution aims to explore the concept of urban coastal society, a community intimately connected to the coast and to the sea, in the context of the socio-spatial and climatic-environmental critical issues that characterize the development of large coastal cities during the past pandemic situation. In spatial and functional terms, the urban shore could be considered as an urban amphibious, that is, the urban area where the land and the sea physically meet, in relationship with the ability of the city and the coastal community to constantly adapt to these two systems. It is an aggregator of coastal commons, shared resources whose importance is fundamental for the adaptation of the coastal society to external impacts. Anyway, its integrity appears to be fragmented since it is composed of variegated elements (port areas, production plants, urban beaches, insecure or abandoned spaces) that can also be considered as pieces of a potential green–blue infrastructure. In this sense, the concept of city–sea interface can be mobilized, as the physical, ecological, social and functional contact area between the edge of the city and the edge of the water: it can be considered as an expression of the urban amphibious, a space in which different ways of experiencing the coastal life of the city are juxtaposed, with a strong need for flexible management. These premises require us to investigate how to plan and manage 'blue spaces', considering them as potential quality public areas along the urban shore: during the Covid-19 pandemic, this necessity becomes even more absolute in relation to the evolution of social needs that require a greater amount of public space to guarantee to each user valuable social spaces while preventing contagion. Coastal areas therefore take on an even greater social and therapeutic value in large coastal cities. "
"Water Worlds: Human Geographies of the Ocean","https://scispace.com/paper/water-worlds-human-geographies-of-the-ocean-35ik9h05sb","2016","Book","","Jonathan Mark Anderson
Kimberley Peters","","","- **Relevance Score:** 57/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses extensive oceanic ethnographies, governance case studies, and more‑than‑human theory; lacks explicit blue‑urban focus and a unified hydrosocial framework.","Contents: Foreword: on thalassography Introduction: 'A perfect and absolute blank': human geographies of the ocean, Jon Anderson and Kimberley Peters. Part I Ocean Knowledges: Understanding the Water World: Mediterranean metaphors: travel, translation, and oceanic imaginaries in the 'new Mediterraneans' of the Arctic Ocean, the Gulf of Mexico and the Caribbean, Philip E. Steinberg 'Plenty of weeds and penguins': charting ocean knowledge, Anne-Flore LaloA"" Geographies of coral reef conservation: global trends and environmental constructions, BArbel G. Bischof Merging with the medium? Knowing the place of the surfed wave, Jon Anderson. Part II Ocean Experiences: Embodied Performances, Practices and Emotions: The day we drove on the ocean (and lived to tell the tale about it): of deltas, ice roads, waterscapes and other meshworks, Phillip Vannini and Jonathan Taggart What I talk about when I talk about kayaking, Jon Anderson Deep ethnography: witnessing the ghosts of SS Thistlegorm, Stephanie Merchant. Part III Ocean Natures: Mobilities and More-Than-Human Concerns: Sustaining livelihoods: mobility and governance in the Senegalese Atlantic, Juliette Hallaire and Deirdre McKay Governance of the seas: a more-than-human perspective on the Cardigan Bay scallop fishery, Christopher Bear 'With perfect regularity throughout' more-than-human geographies of the Royal Mail Steam Packet Company, Anyaa Anim-Addo Taking more-than-human geographies to sea: ocean natures and offshore radio piracy, Kimberley Peters. Index."
"Aquatic Urbanisms: Water as Planning and Territorial Instrument Considering The 9 Dash Line Policy","https://scispace.com/paper/aquatic-urbanisms-water-as-planning-and-territorial-3cgcx2qts0","2017","","","Gerhard Bruyns
Peter Hasdell","10.6092/2531-9906/5420","https://scispace.com/pdf/aquatic-urbanisms-water-as-planning-and-territorial-3cgcx2qts0.pdf","- **Relevance Score:** 57/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses hydro‑social‑territory concept to link water, governance, and urban planning; treats water as active agent; critiques maritime law; ties to blue urbanism, but lacks concrete community case and full integrated framework.","The notion of territoriality, territory and terrain are all derivatives of ‘terra’ or ‘earth.’ As discourse, ‘territory’ has remained largely land centred for its terminologies, means of representation or in its application within urbanization. Water, conversely, is often considered as a resource or as a specific morphological characteristic but rarely as a key object of discourse. China’s claim within the South China Sea and the subsequent creation of newly formed ‘island outposts’, has brought to light the political welding that water holds, as both territorial claim and negotiating instrument. Particularly significant in the context of increasing pressures on development in this urban age. This paper examines how the substitution of ‘terra derived’ concepts with that of ‘hydro’ driven concepts, impact the domains of territoriality in planning and urbanism. Focus is placed on speculative projections of design work that highlights one possible method of reconfiguring the territoriality of the South China Sea. Consequentially this work questions the assumptions and spatial ideologies in the ‘nine-dash line’ policy."
"Creating Space for Community in Marine Conservation and Management: Mapping “Communities-at-Sea”","https://scispace.com/paper/creating-space-for-community-in-marine-conservation-and-16qh216yeo","2017","Book Chapter","","Kevin St. Martin
Kevin St. Martin
Julia Olson","10.1016/B978-0-12-805375-1.00007-6","","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses communities-at-sea to map fishers’ lived practices, integrates ecological context into fisheries governance, foregrounds sea‑based societies, hints at relational assemblages, but lacks explicit blue‑urban focus and full theoretical integration.","“Communities-at-sea” is an approach that defines actual spaces at sea where we can document the presence of community as it relates to fisheries (e.g., shared ecological knowledge, history and culture, common fishing grounds and practices, and coproduced adaptations and innovations). It differs from social science approaches that have until now focused on community as a shore-side phenomenon largely divorced from the actions and practices of fishing offshore and, importantly, from the ecological systems within which such actions and practices occur. Communities-at-sea foregrounds a host of scalable variables that we might understand as expressions of community processes and practices corresponding to fishers’ lived experiences. We specify the concept of communities-at-sea and its technical manifestation. We then demonstrate how it can be used to document change over time as it relates to the fate of fishing communities, to integrate knowledge of community processes and practices into fisheries and ecosystem analyses and modeling, and to expand community beyond its association with only local concerns to a region-wide foundation for analysis and action. We are hopeful that communities-at-sea might contribute to the interdisciplinary and creative work by scientists, managers, and communities themselves that will be needed to effectively address the challenges of the Anthropocene."
"Gender equity and collaborative care in Madagascar’s locally managed marine areas: reflections on the launch of a fisherwomen’s network","https://scispace.com/paper/gender-equity-and-collaborative-care-in-madagascars-locally-tgtrosnc","2023","Journal Article","Ecology and Society","Merrill S. A. Baker-Médard
Vatosoa Rakotondrazafy","10.5751/es-13959-280226","https://scispace.com/pdf/gender-equity-and-collaborative-care-in-madagascars-locally-tgtrosnc.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses gender‑focused marine sociology, more‑than‑human care, LMMA governance, and fisherwomen case to examine sea‑based communities; lacks explicit hydrosocial framing and urban links, limiting full integration.","Collaborative care refers to the collectively formed reciprocal relationships that emerge between the human and more-than-human world. Such care relations are more robust when individuals from different socioeconomic, gender, and political stratifications participate in decision making. This condition applies to gender equity in ocean conservation and fisheries governance practices. Despite their deep involvement in marine fisheries and their labor in sustainable fisheries management and marine conservation, women are often underrepresented in and overlooked by environmental management institutions. Highlighting the importance of gender to effective marine management underscores the need to reconfigure leadership in marine resource governance, and to reconsider how that leadership is understood. To investigate how gender affects community-based conservation, this paper explores marine management practices in Madagascar. Incorporating conversational method and auto-ethnography, we center the expertise and experience of Malagasy women leaders, who have been deeply involved with the foundation and management of a gender-inclusive community marine resource management network. This is especially relevant to Madagascar, where locally managed marine areas (LMMAs) have expanded dramatically in the last decade. Many of these LMMAs have explicitly focused on reconfiguring power relations between international conservation efforts and local resource user needs and values. Overall, the LMMA approach has improved local involvement in resource management decisions, yet areas of weakness remain. We argue that a more inclusive, and thus more effective, approach to governing marine commons requires a focus on the act of commoning: the process through which reciprocity, accountability, and collaborative care are developed within a community. To achieve whole-community governance, we advocate for allocating more resources toward such commoning practices and toward those who are most marginalized in current marine management. Madagascar’s evolving network of fisherwomen leaders provides key insights into how interventions for commoning in marine conservation can advance collaborative care of interdependent human-environment systems. "
"Relationality and island studies in the Anthropocene","https://scispace.com/paper/relationality-and-island-studies-in-the-anthropocene-yi7olm8u1w","2018","Journal Article","Information Systems Journal","Jonathan Pugh","10.24043/ISJ.48","https://islandstudiesjournal.org/article/84299.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses posthuman assemblage theory to link islands, oceanic affect, and relationality; touches on community ties and water‑society co‑production, but lacks governance and urban focus.",""
