title,authors,year,doi,source_id,provider,language,journal,url,source_query,retrieval_timestamp,licence_note
Blue Economy Innovation: Enhancing Marine Resilience Through Sustainable Technologies,"Thangjam Ravichandra, Smrita Jain, Rashmi Prasad, Anisha Puri, Vijay Prakash Gupta",2026,10.1007/978-3-032-13638-1_14,crossref:10.1007/978-3-032-13638-1_14,Crossref,,World Sustainability Series,https://doi.org/10.1007/978-3-032-13638-1_14,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427568+00:00,Crossref open metadata
Blue Economy Policies and Marine Governance in Developed and Developing Nations: Canada and Sri Lanka as Examples,"Chanuka Swarnathilake, K. Udani",2026,10.1007/978-3-032-13638-1_13,crossref:10.1007/978-3-032-13638-1_13,Crossref,,World Sustainability Series,https://doi.org/10.1007/978-3-032-13638-1_13,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427564+00:00,Crossref open metadata
"Conceptualizing the interplay between blue justice, blue economy, and blue governance","Carolijn van Noort, Mia Cassidy Prall, Furqan Asif, Nelson F. Coelho",2026,10.1016/j.marpol.2025.106939,crossref:10.1016/j.marpol.2025.106939,Crossref,,Marine Policy,https://doi.org/10.1016/j.marpol.2025.106939,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427560+00:00,Crossref open metadata
Editorial: The grey side of the blue bioeconomy: assessing unreported transactions and financial drainage in blue bioeconomy sectors,"Renato Mamede, Gonçalo Rodrigues Brás",2026,10.3389/fmars.2026.1933988,crossref:10.3389/fmars.2026.1933988,Crossref,,Frontiers in Marine Science,https://doi.org/10.3389/fmars.2026.1933988,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427451+00:00,Crossref open metadata
"From Marine Carbon Dioxide Removal to Circular Blue Bioeconomy: A Systematic Review of Seaweed Cultivation, Verification, and Sustainability Trade-offs",Sri Mulyani,2026,10.65094/i-joins.v1i2.8,crossref:10.65094/i-joins.v1i2.8,Crossref,,International Journal of Innovation and Sustainability,https://doi.org/10.65094/i-joins.v1i2.8,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427501+00:00,Crossref open metadata
"Market formation in the circular bioeconomy: Innovation systems, governance and industry emergence in Sargassum valorisation",Stephani  Cetimia Mariotti Ruiz,2026,10.2139/ssrn.6467495,crossref:10.2139/ssrn.6467495,Crossref,,,https://doi.org/10.2139/ssrn.6467495,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427552+00:00,Crossref open metadata
"MUNICIPAL BIOECONOMY: HOW BIOTECHNOLOGY (INCLUDING CRISPR) CREATES NEW MARKETS, JOBS, AND INNOVATION ECOSYSTEMS",Anna Gennadyevna Kraevskaya,2026,10.46916/16032026-4-978-5-00276-030-5,crossref:10.46916/16032026-4-978-5-00276-030-5,Crossref,,"MUNICIPAL BIOECONOMY: HOW BIOTECHNOLOGY (INCLUDING CRISPR) CREATES NEW MARKETS, JOBS, AND INNOVATION ECOSYSTEMS",https://doi.org/10.46916/16032026-4-978-5-00276-030-5,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427425+00:00,Crossref open metadata
Securing the U.S. Bioeconomy: A Managed Access Framework For Biotechnology Innovation,Jon Judd,2026,10.25498/e4xm5p,crossref:10.25498/e4xm5p,Crossref,,,https://doi.org/10.25498/e4xm5p,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427491+00:00,Crossref open metadata
Blue bioeconomy and biotechnology: towards a sustainably growing microalgae industry,"Doris Ying Ying Tang, Cendy Ooi, Pau Loke Show",2025,10.1186/s44315-025-00036-8,crossref:10.1186/s44315-025-00036-8,Crossref,,Blue Biotechnology,https://doi.org/10.1186/s44315-025-00036-8,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427433+00:00,Crossref open metadata
Blue-bioeconomy; marine specialized metabolites at the forefront,"Thilina Diwankara, Tharuka Dissanayake, K.H.I.N.M Herath, K.K Asanka Sanjeewa",2025,10.1016/b978-0-443-29843-1.00011-2,crossref:10.1016/b978-0-443-29843-1.00011-2,Crossref,,Marine Specialized (Secondary) Metabolites and their Diverse Applications,https://doi.org/10.1016/b978-0-443-29843-1.00011-2,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427519+00:00,Crossref open metadata
