signal_id,evidence_id,run_id,sector,axis_group,axis_code,query_id,query_family,semantic_scope,signal_type,competence_label,competence_description,demand_phrase,learning_outcome_candidate,evidence_text_scope,evidence_text_hash,confidence_score,classifier_version,manual_review_status,validity_warning
signal:00100a4135e812c808c6727ceef4f4c7a56f4728de9bfa50a908950bde2985a1,evidence:doi:10.1016/j.robot.2019.07.001,30090903921-1,infra_robotics,MARITIME,T,Q_INFRA_ROBOTICS_CORE_002,core_sector,title,digital_skill,Digital or data skill,"Digital, data, AI, autonomy, and cyber-technical skill signals.",autonomous,Digital or data skill evidenced in: Resident autonomous underwater vehicle: Underwater system for prolonged and continuous monitoring based at a seafloor station,Resident autonomous underwater vehicle: Underwater system for prolonged and continuous monitoring based at a seafloor station,cb02abad9c28f3f2868a650c54899074840fad448909db98e4c9b07f699adf18,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:0048020144f2db4816436d50139be4b148461095e788752f03589bc3e178498c,evidence:doi:10.63044/ibd24/mun4,30090903921-1,ship_repair,MARITIME,T,Q_SHIP_REPAIR_CORE_002,core_sector,title,social_science_skill,Social-science or literacy skill,"Ocean literacy, blue citizenship, and social-science skill signals.",community,Social-science or literacy skill evidenced in: Energy and Operational Carbon Savings in Community Scale Low-Carbon Retrofit with Dual Source Cold Climate Heat Pumps,Energy and Operational Carbon Savings in Community Scale Low-Carbon Retrofit with Dual Source Cold Climate Heat Pumps,19436447c8a673b870346acb24c38cb7c0b40cc84db0fade4dd8c9f86a18a8c5,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:006107e4730acc309baacf9d5e6e3a6cb253b7cf695cacb574d1a67d3ca14a62,evidence:doi:10.5089/9798229034920.018,30090903921-1,port_activities,MARITIME,T,Q_PORT_ACTIVITIES_CORE_003,core_sector,title,sustainability_skill,"Sustainability, resilience, or adaptation skill","Sustainability, resilience, and adaptation skill signals.",adaptation,"Sustainability, resilience, or adaptation skill evidenced in: Sea-Level Rise and Climate Adaptation in Aruba",Sea-Level Rise and Climate Adaptation in Aruba,013f362e17e07e6906b2abd20ce642ea6791a0e2d565b667cbe3381cbae9a833,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:0074d38ebdf2d265077770cf84fecbbd9dabe3c04954bd71c65da910f2a89cc4,evidence:doi:10.1016/j.renene.2025.125000,30090903921-1,renewable_energy,MARITIME,T,Q_RENEWABLE_ENERGY_VAL_001,validation_eqf_translation,title,digital_skill,Digital or data skill,"Digital, data, AI, autonomy, and cyber-technical skill signals.",machine learning,Digital or data skill evidenced in: Nearshore wind estimation from buoy wave spectra via physics-guided machine learning: A framework for offshore wind applications,Nearshore wind estimation from buoy wave spectra via physics-guided machine learning: A framework for offshore wind applications,d6b1a210875029c119fb262e6a9cefb33c7d3fc7d3528938b223795b4adcb2cb,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:008b0264418b9a21e029c1a244ade2f95934321a0f7123fed11c52772fdad42c,evidence:doi:10.5220/0013413300004654,30090903921-1,blue_biotech,MARINE,M,Q_BLUE_BIOTECH_COMP_002,competence_demand,title,learning_outcome_signal,Learning outcome signal,"Learning outcomes, learning objectives, or competence descriptors.",learning outcome,Learning outcome signal evidenced in: Implementation of Contextual Teaching and Learning in Curriculum at Education Unit Level (KTSP) as an Effort to Improve Geography Learning Outcomes,Implementation of Contextual Teaching and Learning in Curriculum at Education Unit Level (KTSP) as an Effort to Improve Geography Learning Outcomes,8d7915ad7f839ee6bef71591361d4c9ba8a775601a73b1ee8e41071afabbad48,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:00ad451b866f553380c9df2b5540fe8eebfca74c9f14a740cc3fed75aa0171e6,evidence:doi:10.56404/jels.v3i2.51,30090903921-1,blue_biotech,MARINE,M,Q_BLUE_BIOTECH_COMP_002,competence_demand,title,education_training_signal,Education and training signal,"Formal or informal education, training, curriculum, or capacity building.",curriculum,Education and training signal evidenced in: Transformational Leadership and Its Effect on Curriculum Implementation Fidelity and Student Learning Outcomes,Transformational Leadership and Its Effect on Curriculum Implementation Fidelity and Student Learning Outcomes,48e436565d46f6535b807fff609bd9dd3a96566edc6d0805b6f91d5a1f7684a8,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:00ee6c8bd020f1e2fcf86244e99f3bec4630a36dce1f3c58d878ffe35c5bd496,evidence:doi:10.1515/9781773852508-013,30090903921-1,port_activities,OCEANIC,O,Q_PORT_ACTIVITIES_EMRG_002,emerging_demand,title,governance_skill,Governance or policy skill,"Governance, institutional, and stakeholder coordination skills.",governance,Governance or policy skill evidenced in: Governance: The Sine Qua Non of Sustainability,Governance: The Sine Qua Non of Sustainability,f2238bbf9877d873dee03ad678fc088e97e3caf1e14a612188e631066201d98e,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:00f7f41aaf66a0f929fcb06d03b23f676e7ee1ce9c622fa8aeb8683348352394,evidence:doi:10.18820/9781991201072/04,30090903921-1,port_activities,OCEANIC,O,Q_PORT_ACTIVITIES_THY_001,theory_translation,title,policy_regulation_skill,Policy or regulation skill,"Regulatory, legal, and compliance skill signals.",law,Policy or regulation skill evidenced in: Port State jurisdiction in terms of article 218 of the UN Convention on the Law of Sea: A South African perspective,Port State jurisdiction in terms of article 218 of the UN Convention on the Law of Sea: A South African perspective,bf785ab8d84af6d9b207f48f9a6c55c03c3043c97e08817102803a6105f2f010,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:01048e0777a6c9ed57692940bb4ca6cf267d6ea3998b29fb7b4d514d7b9bee52,evidence:doi:10.4018/978-1-7998-6721-0.ch002,30090903921-1,infra_robotics,MARITIME,T,Q_INFRA_ROBOTICS_CORE_001,core_sector,title,digital_skill,Digital or data skill,"Digital, data, AI, autonomy, and cyber-technical skill signals.",digital,Digital or data skill evidenced in: From the Digital-Twin to the Cyber Physical System Using Integrated Multidisciplinary Simulation,From the Digital-Twin to the Cyber Physical System Using Integrated Multidisciplinary Simulation,10ac2b4e0081aae0568a690f73c546142a5060dc5970532bf3422ea71f34eaa0,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:01200df97ba728b62e718b309cde642f2e3c4b08fbbd21252761173ac9d40c19,evidence:doi:10.56687/9781529250046-004,30090903921-1,port_activities,MARITIME,T,Q_PORT_ACTIVITIES_CORE_003,core_sector,title,sustainability_skill,"Sustainability, resilience, or adaptation skill","Sustainability, resilience, and adaptation skill signals.",adaptation,"Sustainability, resilience, or adaptation skill evidenced in: 2 Adaptation: Heatwaves and Sea Level Rise",2 Adaptation: Heatwaves and Sea Level Rise,790644df46d4439894e884d875fb5a0103e41acce15741b9a520cc56f464717f,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:0155e969286e040862bdb41c7ea47b8a2657914fd4f184de123a3d03a825e1b4,evidence:doi:10.2139/ssrn.5946475,30090903921-1,r_i,OCEANIC,O,Q_R_I_CORE_002,core_sector,title,governance_skill,Governance or policy skill,"Governance, institutional, and stakeholder coordination skills.",governance,"Governance or policy skill evidenced in: Datafying the Arctic: Satellite Governance, Indigenous Data Sovereignty, and the FAIR-CARE Conflict in India's Polar Engagement","Datafying the Arctic: Satellite Governance, Indigenous Data Sovereignty, and the FAIR-CARE Conflict in India's Polar Engagement",2d87eba53a80e9991c34416ca17bc5a311a4b6764a1671dfc50307e003cfca12,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:01ee226caf2c9ddf63b7d0986891237d715bd6eaa09338aeea759ec37259cdbd,evidence:doi:10.4018/979-8-3373-7785-8.ch002,30090903921-1,desalination,HYDRONIZATION,H,Q_DESALINATION_EMRG_001,emerging_demand,title,digital_skill,Digital or data skill,"Digital, data, AI, autonomy, and cyber-technical skill signals.",digital,Digital or data skill evidenced in: Adaptive AI-Driven Digital Twin Frameworks for Autonomous Vehicles,Adaptive AI-Driven Digital Twin Frameworks for Autonomous Vehicles,9cc235b2f0961246f01a837160dca48892d125fa6861285d9a3b5e69b958a7b4,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:025838c5f9eb35d2d3d9b8f909949f95257c89ff4a78fb0f3828f4dfbbb5732f,evidence:doi:10.5961/jhes.2019.305,30090903921-1,blue_biotech,MARINE,M,Q_BLUE_BIOTECH_COMP_002,competence_demand,title,education_training_signal,Education and training signal,"Formal or informal education, training, curriculum, or capacity building.",curriculum,Education and training signal evidenced in: Nursing education curriculum and learning outcomes,Nursing education curriculum and learning outcomes,1976484d27092c767c69b1aa5b0c573ef068467d7b1de955e85a70e1ff6af284,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
