id,name,description,axis,level,source
baseline_a_1,Ocean literacy,Communicating ocean value and agency,OCEANIC,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_a_2,Blue systems thinking,Mapping planetery system connections,OCEANIC,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_a_3,Blue economy regulations,"Following blue values laws, inclusivity, justice and fairness",OCEANIC,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_b_1,Data & digital proficiency,Using digital tools (GIS) & data in-research,MARITIME,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_b_2,Digital communication,"Online collaboration & outreach, counter-maping vs. GIS",MARITIME,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_b_3,Cybersecurity & maritime safety,"Protecting digital systems,",MARITIME,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_b_4,Open science & data sharing,"Transparent data access, civic repositories, indigenous people knowledge and tradition",MARITIME,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_c_1,Sustainable resource management,"Responsible resource use, zerocarbon, zeroplastic, reduce toxic disposal",MARINE,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_c_2,Circular economy principles,"Reducing waste & recycling, water retention",MARINE,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_c_3,Climate adaptation & coastal resilience,"Building coastal buffers, off-shore and deep sea habitats",MARINE,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_c_4,Ecosystem-based management (EBM),"Holistic nature-based care, blue governance",MARINE,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_d_1,Value chain thinking,"Optimizing production flows, non-human and more-than-human agentism",MARITIME,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_d_2,Leadership & blue innovation,"Leading sustainable change, blue growth, blue justice",MARITIME,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_d_3,Blue finance & investment,"Finding sustainable funding, blue finance, blue economy",MARITIME,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
baseline_d_4,Ethical & participatory governance,"Inclusive decision-making, blue governance, blue values",MARITIME,,data/derived/Blue Social Competences Univ Szczecin - Overall Blue Competences Dimension.csv
lit_labor_justice_0002,"Gender equity and inclusion in blue workplaces: « Artisan, ça veut tout et rien dire » - Quelle lutte des classes dans","Literature-derived competence (cluster: Gender equity and inclusion in blue workplaces) from Blue economy labour justice & social equity papers. Source paper: « Artisan, ça veut tout et rien dire » - Quelle lutte des classes dans la pêche bretonne ? (Fabien Clouette, 2021).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0003,Racial equity and anti-discrimination in blue economy: Racial capitalism and the sea: Development and change in Black maritim,"Literature-derived competence (cluster: Racial equity and anti-discrimination in blue economy) from Blue economy labour justice & social equity papers. Source paper: Racial capitalism and the sea: Development and change in Black maritime labour, and what it means for fisheries and a bl (Timothy Clark, 2022).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0004,Social impact assessment for blue economy projects: Securing a Just Space for Small-Scale Fisheries in the Blue Economy,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Securing a Just Space for Small-Scale Fisheries in the Blue Economy (Philippa J. Cohen
Philippa J. Cohen
Edward H. Allison
Edward, 2019).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0005,Artisanal fishing knowledge and ecological literacy: Fisheries as social struggle: a reinvigorated social science research,"Literature-derived competence (cluster: Artisanal fishing knowledge and ecological literacy) from Blue economy labour justice & social equity papers. Source paper: Fisheries as social struggle: a reinvigorated social science research agenda (Maarten Bavinck
Maarten Bavinck
Svein Jentoft
Joeri Scholten, 2018).",MARINE,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0006,Precarious work and informality in coastal fisheries: Major trends in work at sea: outline of a political economy of maritim,"Literature-derived competence (cluster: Precarious work and informality in coastal fisheries) from Blue economy labour justice & social equity papers. Source paper: Major trends in work at sea: outline of a political economy of maritime labour (Jörn Boewe, 2023).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0007,Community participation in marine spatial planning: Reconversion or Exclusion? The Effects of Blue Economy Policies on Sem,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Reconversion or Exclusion? The Effects of Blue Economy Policies on Semi-industrial and Artisanal Fishing in Puntarenas,  (Alexa Obando Campos
Sara Latorre, 2024).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0008,Decent work standards for aquaculture workers: Industrial and small-scale fisheries relations in Ghana: A political e,"Literature-derived competence (cluster: Decent work standards for aquaculture workers) from Blue economy labour justice & social equity papers. Source paper: Industrial and small-scale fisheries relations in Ghana: A political ecology perspective on blue economy exclusion (R.K. Ayilu
Michael Fabinyi
Kate Barclay
Mary Ama Bawa, 2023).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0009,Artisanal fishing knowledge and ecological literacy: From Sea Slaves to Slime Lines: Commodification and Unequal Ecological,"Literature-derived competence (cluster: Artisanal fishing knowledge and ecological literacy) from Blue economy labour justice & social equity papers. Source paper: From Sea Slaves to Slime Lines: Commodification and Unequal Ecological Exchange in Global Marine Fisheries (Brett Clark
Stefano B. Longo
Rebecca Clausen
Daniel Auerbach, 2019).",MARINE,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0010,Blue justice frameworks and social sustainability: Maritime Security and the Governance of 'Sustainable'Fisheries: Aligni,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: Maritime Security and the Governance of 'Sustainable'Fisheries: Aligning Stakeholders Around Ecological Protection (S Edwards
A Malik, ).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0011,Equitable benefit-sharing in ocean resource governance: Promoting gender equity and equality through the small-scale fisheries,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Promoting gender equity and equality through the small-scale fisheries guidelines: experiences from multiple case studie (Danika Kleiber
Katia Frangoudes
Hunter T. Snyder
A. Choudhur, 2017).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0012,Community participation in marine spatial planning: Reorientasi Pembangunan Pesisir melalui Keadilan Biru: Studi Kasus Kom,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Reorientasi Pembangunan Pesisir melalui Keadilan Biru: Studi Kasus Komunitas Nelayan di Kenjeran, Surabaya (Wardatul Adawiah
Khalid Syaifullah
Nur'aini Inayah, 2025).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0013,Indigenous and traditional fishing rights advocacy: Exploring social justice in marine spatial planning: planner and stake,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Exploring social justice in marine spatial planning: planner and stakeholder perspectives and experiences in the Baltic  (Ignė Stalmokaitė
Ralph Tafon
Fred Saunders
Kira Gee
Michael , 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0014,Social impact assessment for blue economy projects: Optimizing Blue Justice in the Protection of Small-Scale Fishermen in,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Optimizing Blue Justice in the Protection of Small-Scale Fishermen in the Coastal Region of Yogyakarta (Fifiana Wisnaeni
Amalia Diamantina
Indarja Indarja
Aji Bayu , 2025).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0015,Occupational health and safety at sea: Role of women in the Blue economy in Kenya: Study on Maritime Industry,"Literature-derived competence (cluster: Occupational health and safety at sea) from Blue economy labour justice & social equity papers. Source paper: Role of women in the Blue economy in Kenya: Study on Maritime Industry in Mombasa County (QA Atieno, ).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0016,"Equitable benefit-sharing in ocean resource governance: ‘We Are the Oceans, We Are the People!’: Fisher People’s Struggles for","Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: ‘We Are the Oceans, We Are the People!’: Fisher People’s Struggles for Blue Justice (Irmak Ertor, ).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0017,"Community participation in marine spatial planning: Ocean and Society, 2025, Volume 2 Into the (Gendered) Blue: New Perspe","Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Ocean and Society, 2025, Volume 2 Into the (Gendered) Blue: New Perspectives on Gender Equality and Participation in Blu (D by Typografia
K Svels
M Schreiber
K Ounanian, ).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0018,"Decent work standards for aquaculture workers: Fishing for justice: Human rights, development, and fisheries sector r","Literature-derived competence (cluster: Decent work standards for aquaculture workers) from Blue economy labour justice & social equity papers. Source paper: Fishing for justice: Human rights, development, and fisheries sector reform (Blake D. Ratner
Björn Åsgård
Edward H. Allison, 2014).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0019,Social impact assessment for blue economy projects: Equity and access to fishing rights: exploring the community quota pro,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Equity and access to fishing rights: exploring the community quota program in the Gulf of Alaska (Courtney Carothers, 2011).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0020,Blue justice frameworks and social sustainability: In the power of power: the understated aspect of fisheries and coastal,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: In the power of power: the understated aspect of fisheries and coastal management (Svein Jentoft, 2007).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0021,Equitable benefit-sharing in ocean resource governance: Exploring the winners and losers of marine environmental governance/Ma,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Exploring the winners and losers of marine environmental governance/Marine spatial planning: Cui bono?/“More than fishy  (W Flannery
G Ellis
G Ellis
W Flannery, ).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0022,Small-scale fisheries sustainability and livelihoods: A review of women's access to fish in small-scale fisheries,"Literature-derived competence (cluster: Small-scale fisheries sustainability and livelihoods) from Blue economy labour justice & social equity papers. Source paper: A review of women's access to fish in small-scale fisheries (A Lentisco
RU Lee, ).",MARINE,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0023,Indigenous and traditional fishing rights advocacy: Towards Ocean Equity,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Towards Ocean Equity (Kochin, Aloexander V., 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0024,Social impact assessment for blue economy projects: Social sustainability in seafood systems: a rapid review,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Social sustainability in seafood systems: a rapid review (Karen A. Alexander
Ingrid Kelling, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
