variable_name,value_code,value_label
axis_group,HYDRONIZATION,Hydrosocial governance and water-body coupling.
axis_group,MARINE,Biophysical / ecological agency and constraints.
axis_group,MARITIME,"Techno-economic, infrastructural, labour, institutional mediation."
axis_group,OCEANIC,"Planetary coupling, multi-level governance, hydrosocial subjectivity."
coverage_status,candidate_translation,Coverage proposed from generated candidate translations; not externally validated.
coverage_status,review_required,Credential row requires manual review due to low-confidence or review-required demand inputs.
coverage_status,validated_covered,All competence_demand_ids are externally validated as covered at this EQF level.
coverage_status,validated_partial,Some but not all competence_demand_ids are externally validated as covered at this EQF level.
coverage_status,validated_uncovered,No competence_demand_id is externally validated as covered at this EQF level.
status,duplicate_artifact,Row exists only because of Jaccard duplicate merging.
status,high_demand,Score >= 0.70 with at least 2 evidence records.
status,low_demand,Score < 0.40 with sufficient evidence.
status,medium_demand,Score >= 0.40 with at least 1 evidence record.
status,provider_bias_warning,All evidence sourced from a single provider.
status,review_required,"Insufficient evidence, ambiguous provenance, or thin metadata."
