"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Preliminary Material","https://scispace.com/paper/preliminary-material-2p4gmlb8","2022","Book Chapter","","","10.1163/9789004503410_001","https://scispace.com/pdf/preliminary-material-2p4gmlb8.pdf","","and conduct a closer exploration of over half a century of Polish maritime sociology. They also discuss the socioeconomic and ideological context in which the regional emergence and development of the discipline took place, which is currently experiencing increased interest among scholars both in Poland and internationally. Organisation of This Volume:
 Seung Kuk Kim, in the second chapter, proposes to conceptualise maritime spaces from the perspective of posthumanist and post-materialist theories, combining these approaches with East Asian classical thought. The maritime space, in this conception, is to be understood as 'a hybridising and hybridised' actor interacting as an 'ocean of hybridisation' with other nonhuman and human subjects in a multiscalar way. Thus, the author postulates a more humandecentred approach to oceans. He believes that thanks to the process of ocean hybridisation, many contrasted binarisms can be overcome (like individualism vs collectivism, material vs ideal) and lead to the emergence of a single oneness. The author's inspirations are both the Asian spiritual heritage of Taoism and Buddhism, especially the Taoist 'Book of Changes' , and Western sociological (meta)theories like the idea of multidimensionality of Jeffrey Alexander. According to Kim, together with the decline of the West, terrestrial sociology declines, and the era of Asia and oceanic sociology is coming. Organisation of This Volume:
 Part two contains theoretical and empirical examinations of the port city as a maritime social space. Robert Bartłomiejski and Maciej Kowalewski state that classical concepts describing port cities usually limit their analysis to either the economic, historical or cultural aspect. However, recent studies show that recent global developments offer a new context in which ports are increasingly separate from, but also transcend, cities. The authors present dif-ferent approaches to explore the connection between the sea, port cities and maritime communities, e.g. marinisation theory developed by Polish maritime sociology, the perspectives of environmental sociology and human ecology, as well as attempts to establish a sociology of the coast. In doing so, they conceive of today's coasts as post-productive places that are less connected to the maritime industry than to consumption, recreational infrastructure and serve as spaces for cultural and ecological activities. The sea, the authors argue, 'regulates processes that translate, mediate and control the course of metabolism between environment and society' . Following these theoretical considerations, the authors propose a research programme for the application of the Actor-Network Theory to the study of port cities."
"Il mare unisce ciò che la terra divide. Antropologie dai mari del sud. Introduzione1","https://scispace.com/paper/il-mare-unisce-cio-che-la-terra-divide-antropologie-dai-mari-8qwn3pwq","2022","Journal Article","Archivio antropologico mediterraneo","Matteo Aria
Francesco Lattanzi","10.4000/aam.6438","https://scispace.com/pdf/il-mare-unisce-cio-che-la-terra-divide-antropologie-dai-mari-8qwn3pwq.pdf","","a indagare la molteplicità dei modi in cui, nei differenti universi culturali ed epoche storiche, i gruppi umani concettualizzano, attraversano e «abitano il mare» . 8:
 Connettere, infine, tali visioni oceaniane con le altrettanto rilevanti dimensioni politiche indicate dagli storici precedentemente evocati (che hanno spostato lo sguardo dalla terra al mare e proposto una storia sociale dal basso) consente di sostanziare un'antropologia dei mari capace di mettere in risalto sia i saperi, le culture materiali e le cosmologie di diversificate e fluide comunità marinare, sia i contesti e le dinamiche di potere dentro cui sono inserite. Un approccio che si confronta con le complessità di uno scenario contemporaneo segnato dalla globalizzazione, dalla crisi ambientale e dal sovrapporsi di vari sistemi giuridici e che si mostra perciò particolarmente sensibile a intrecciarsi con le ricerche sui flussi migratori, sull'umanitarismo e sulle logiche emergenziali, sempre più rilevanti in un ""mare particolare"" come è diventato oggi il canale di Sicilia. L'insieme dei riferimenti teorici e delle indagini etnografiche alla base di questo volume comprende così anche quei lavori (Ben-Yehoyada 2019; Ciabarri 2020; Cocco 2017) attenti a sottolineare la presenza di molteplici forze politiche in azione nel Mediterraneo e che testimoniano la ""presa della parola"" (  della disciplina di fronte alle regolamentazioni e alla repressione attuate dagli Stati nazionali europei. Altrettanto significativi si rivelano gli studi ) impegnati a svelare i dispositivi e le norme a fondamento di tali necropolitiche ."
"Maritime Sociology in the Making","https://scispace.com/paper/maritime-sociology-in-the-making-2b3fq6zl","2022","Book Chapter","","","10.1163/9789004503410_002","https://scispace.com/pdf/maritime-sociology-in-the-making-2b3fq6zl.pdf","","occupation but more often in categories of local communities or collectivity. This ""collective"" perspective is precisely the more appropriate one for this issue. ""In this sense, the sociology of fishing has developed as a sociology of fishing communities or societies"" . The Subject of Maritime Sociology -beyond People Representing Maritime Professions:
 Issues of coastal communities, port towns and cities and the marine environment often take directions determined by the identification of changes which occur within them. Transformations taking place within the functioning of seaside communities are often influenced by the changing way in which the sea is utilised. Due to environmental changes and fishing limitations, communities whose income is generated from fishery or whaling  must redefine their relationship to the sea. Previous occupational activities connected with obtaining food from nature are being replaced by new strategies aiming at cultural or tourist use of the sea . A part of this process concerns the redevelopment of fishery, which would not take the form of direct fishing but presents maritime culture related to fishing as a particular attraction (identification) of a region. Leaving residual fishing activity in place might also support tourist activity. Even one fishing boat (in a given locality) shapes the tourists' impressions regarding the culinary advantages (access to fresh fish) of a given region. What clearly is transformed here is the social context of utilising sea resources which affects the organisation, structure and culture of an individual coastal community. This reshaping of the social role which the sea plays is intriguing for researchers of social life in a range of disciplines. Maritime culture is no longer the content of social life but becomes (symbolic) capital instead. The Subject of Maritime Sociology -beyond People Representing Maritime Professions:
 A similarly engaging area of research arises from issues related to port towns and cities. The main area which fascinates sociologists is, again, their reorganisation as a consequence of different use of the sea. The subject literature points, first and foremost, to the procedures of ports, which are distinct (detached) from port towns and cities as the place where ships are loaded. The process is well expressed in the report entitled The Transformation of European Port Cities: Final report on the new EPOC port city audit: ""Markets need ports, but no longer need port cities"" . This change depreciates the global role of ports and poses new challenges for port towns and cities. These challenges concern both the objective (spatial development of coastal areas) and subjective spheres (searching for a new maritime identity) . What is remarkable is that along with the loss of ""maritime identity,"" the engagement of the social sciences with port towns and cities is growing ."
"A Sea Change in the Environmental Humanities","https://scispace.com/paper/a-sea-change-in-the-environmental-humanities-5bf8hg2oyy","2020","Journal Article","","Cecilia Åsberg","10.46863/ECOCENE.41","https://scispace.com/pdf/a-sea-change-in-the-environmental-humanities-5bf8hg2oyy.pdf","As we are living through a transformative response to a viral pandemic, this think piece suggests a reimagining of the environmental humanities in the open-ended inventories of feminist posthumanities and the low trophic registers of the oceanic. Sea farming of low trophic species such as seaweeds and bivalves is still underexplored option for the mitigation of climate change and diminishing species diversity in the warming oceans of the world. The affordances of low trophic mariculture for coastal life and for contributing to society’s transition into climate aware practices of eating, socializing and thinking is here considered, and showcased as an example of the practical uses of feminist environmental posthumanities.","(Haraway 1991) and the politics of location 1987), such feminist environmental posthumanities adapt to the case at hand the relevant methodologies of the environmental humanities subfields, for instance multispecies studies , and oceanic studies or blue humanities . Us, the Postnatural Environment: Nonhuman Forces into Environmental:
 As I feel strongly that environmental humanities has the opportunity to become even more relevant, more encompassing as well as more demanding in the registers of sustainability science, art, and nonhuman reckonings, especially in the light of the mounting efforts around Agenda 2030 and the up-coming UN-declared ""Ocean Decade 2021-2030,"" I want to dwell in particular on such emerging EH subfields. Oceanic studies, as Elizabeth DeLoughrey calls it, and blue humanities, as Stacy Alaimo calls it, are a rather new branch of environmental humanities and feminist posthumanities, corresponding vigorously to a sea change in the arts and humanities, namely the nonhuman turn . They involve a turn to the political ontologies of the sea, their implications for multispecies temporalities and aesthetics, human communities and more-than-human ethics in the Anthropocene. Influences on the rise of this research are of course the pioneering biomarine writings of Rachel Carson, more famous as the author of Silent Spring (1962), on the ecological effects of pesticides. Yet, its feminist and anti-colonial ambitions are more evident in influences like Paul Gilroy's Us, the Postnatural Environment: Nonhuman Forces into Environmental:
 The Black  or Anna  and Donna Haraway's (2016) multispecies works. In effect, it draws on a range of geographical, historical, and cultural works for the understanding of the oceans as a force rather than a place to be managed ). The oceanic turn I explore here, draws on the appeal of these overlapping oeuvres of environmental humanities and feminist posthumanities, and yet focuses on the oceanic, on slow violence , and the less explored affordances of low-trophic thinking with sea ecologies. This demands the aforementioned theoretical grounding in environmental humanities and feminist posthumanities in its science-and-society oriented and more-than-human registers. Us, the Postnatural Environment: Nonhuman Forces into Environmental:
 Forged in this previous research, our new research with The Posthumanities Hub (my research team) explores environmental violence and postnatural care in the interstices of art and science, ocean and land, theory and public appeal. Allow me to try to fathom the relevance of the oceanic turn and what I have come to call low-trophic theory."
"The Blue Growth Challenge to Maritime Governance","https://scispace.com/paper/the-blue-growth-challenge-to-maritime-governance-17vu7oxca0","2021","Journal Article","Frontiers in Marine Science","José Guerreiro","10.3389/FMARS.2021.681546","https://scispace.com/pdf/the-blue-growth-challenge-to-maritime-governance-17vu7oxca0.pdf","In 2006 the European Union (EU) began a dramatic change in its conception and approach to maritime policy. By developing what was called Integrated Maritime Policy, there was an attempt to coordinate different sectorial policies and thus adding value, through synergies and economies of scale. At the same time, and as a result of scientific and technological advances, five strategic sectors with great growth potential were identified: aquaculture, renewable energies, blue biotechnology, deep sea mining and nautical tourism. These were the pillars for the Blue Growth Strategy, leading to more jobs and global economic growth. This trend quickly spread to other continents, universalizing the concept of blue growth. However, the growing competition for maritime space, due to new uses, led to the realization that along with the need to ensure confidence and stability for investors, it would be imperative to develop new planning and management instruments for these spaces. During this process, governments quickly realized that this evolution, which had the potential for far reaching economic and social impacts, required a new institutional framework adapted to this new reality, which would end up having an impact on the governments structure itself. We have witnessed, particularly during the last decade, a profound conceptual change in the governance of maritime space. The design of new political, legal, institutional, and governmental frameworks, which are introducing a new model of maritime and marine governance at a global scale, are probably the most critical one since World War II. This article develops this analysis, based on several examples, both in the EU as well as in other countries outside the bloc, particularly those surrounding the Atlantic, in order to demonstrate that the drive towards a blue economy triggered a profound and deep change in marine policies and governance.","with the creation of Ministries for the Sea and/or Maritime Economy or at least the enlargement of mandate of existing ministries (e.g., Ministry of Environment); (iv) the need for regional and transboundary cooperation and new governance mechanisms to achieve it. CONCLUSION:
 Although advancing at different speeds, Blue Growth strategies and their instruments, particularly its main legal instrument, MSP, spread from the Atlantic to the Pacific and Indian Ocean, and is reshaping ocean governance in all continents. However, responding to the Blue Growth agenda, MSP becomes a technical issue, focused on the allocation of spaces rather than on good governance . Due to the dominance of Blue Growth discourse within, particularly in the EU, the problems to be addressed by MSP no longer relate to good environmental governance, but rather, are concerned with creating the appropriate conditions for the rapid expansion of particular industries. The EU approach to Blue Growth MSP clearly influenced the Atlantic, particularly in Africa, as the cases studied show a leading drive for the maritime economy which is encouraged by the vision of Africa's Blue Growth Strategy and the SIDS positioning towards Blue Growth, since 2012 Rio +20 UN Conference. The EU Atlantic Maritime Strategy together with the Belém Declaration clearly influenced the path for Blue Growth from Cape Verde to South Africa, either by cooperation of the EU with several countries and/or bilateral cooperation of EU countries with ancient colonies, as it the case of England, France, Germany, and Portugal. Likewise, this influence is extending to Latin America, particularly to Brazil but also on the Latin-America/Caribbean axis states, driven by the global initiative UNESCO/IOC/EU for MSP. Somehow the EU, very recently, on May 2021, recognised this shift of MSP towards ""soft sustainability"" rather than ""hard sustainability"" or ecosystem approach, by approving the Communication ""On a new approach for a sustainable blue economy in the EU Transforming the EU's Blue Economy for a Sustainable Future"" . CONCLUSION:
 It became clear that as land-based economies slow down and the depletion of terrestrial resources increases, this results in a greater interest in the economic opportunities contained within and under the sea . But, while maritime trade and commerce, fishing, coastal tourism, and oil and gas exploitation are ""business as usual, "" new technologies introduced competing uses for maritime spaces, being offshore wind farms, off shore aquaculture, deep sea mining or blue biotechnology, revealing a shift to a more centralised and planned economy, which allocates ""ownership"" and establishes mechanisms and governance systems designed to protect national assets and private investments, introducing what some authors claim to be a ""neoliberasation"" of the oceans and the privatisation of common property spaces ."
"The Human Relationship with Our Ocean Planet","https://scispace.com/paper/the-human-relationship-with-our-ocean-planet-1yqtjyzi","2023","Book Chapter","","C_S4CAM_2202-Pdf-Dumps","10.1007/978-3-031-16277-0_11","https://scispace.com/pdf/the-human-relationship-with-our-ocean-planet-1yqtjyzi.pdf","Abstract People across the world have diverse economic, sociolegal, institutional, social and cultural relationships with the ocean—both its littoral zones and the open sea spaces through which people have traditionally navigated, migrated, fished, traded, played and sought solace, spiritual enlightenment, adventure, material enrichment, social identity, cultural expression, artistic inspiration or good health. These relationships are reflected in formal and informal institutions (polices, laws, social norms) that regulate many of these activities, including those that regulate access to resources. These institutions represent a series of prior claims and rights to the use and enjoyment of the ocean by coastal and maritime societies. ","maritime sector and planning, for a sustainable ocean economy will require specific attention to equity and inclusion in the expanding maritime workforce. The development of new offshore industries provides an opportunity for inclusive maritime vocational training to create a diverse workforce in this emergent maritime economy. Addressing Social Difference Within Maritime Societies: Towards a Diverse and Inclusive Future Ocean Economy:
 We have so far provided a few illustrative examples of social differences within coastal societies and maritime workforces. However, there are also inequalities in oceanrelated well-being among geographies. In a sea of exclusive economic zones (EEZs) and nation-states, among the most vulnerable 'ocean citizens' are, ironically, those with the longest histories and closest ties to the ocean. These include Indigenous coastal people around the world (Fig. .3) and mobile populations who cross national frontiers or live upon the ocean, like the Sama-Bajau people in Southeast Asia (see Annex 1). Diverse relationships with the ocean in different cultural and geographical settings are explored further in Sect. 11.4. Addressing Social Difference Within Maritime Societies: Towards a Diverse and Inclusive Future Ocean Economy:
 While we have emphasised sense of freedom, adventure, autonomy and self-actualisation as part of the ocean's contribution to subjective well-being (Sect. 11.3.2, Table .3), it is important to recognise that inequalities-and the histories of how these have been produced and reproduced-shape this aspect of our relationship with the ocean. Western literature portrays the ocean as a source of freedom, but in doing The 2019 World Oceans Day (June 8) focused on promoting gender equality in all ocean-related activities, linking UN Sustainable Development Goals 5 and 14:"
"Assembling ocean life: more-than-human entanglements in the Blue economy","https://scispace.com/paper/assembling-ocean-life-more-than-human-entanglements-in-the-4omrqyx5a2","2017","Journal Article","Dialogues in human geography","Christopher Bear","10.1177/2043820617691635","https://scispace.com/pdf/assembling-ocean-life-more-than-human-entanglements-in-the-4omrqyx5a2.pdf","While welcoming the intervention of Winders and Le Heron as opening up a space for critical – and practical – engagement with so-called ‘Blue Economy’ thinking, their employment of assemblage approaches could be extended. Doing so might produce a different conceptualisation of the blue economy, while concurrently establishing new challenges for blue economic practices. In this commentary, I focus on three key areas: 1) the ontological separation of land and sea and the conceptualisation of ‘marine space’; 2) the ‘liveliness’ of oceans; and 3) practical possibilities for Blue Economy policies to draw on and engage with ‘wet ontologies’. I argue that future geographical research on the Blue Economy would benefit from moving away from categorisations of the ‘ecological’ or ‘bio’ and towards a fuller engagement with the diversity of actants and forces that contribute to the emergence of new practices, policies and (de)territorialisations.","Title: Assembling ocean life: more-than-human entanglements in the Blue Economy Authors: Christopher Bear Keywords: More-than-human, assemblage theory, blue economy, geographies of the sea, dynamic ocean management"
"The transformation of the oceans and the future of marine social science","https://scispace.com/paper/the-transformation-of-the-oceans-and-the-future-of-marine-tjj5e431yh","2018","Journal Article","Maritime Studies","Peter Arbo
Maaike Knol
Sebastian Linke
Kevin St. Martin","10.1007/S40152-018-0117-5","https://scispace.com/pdf/the-transformation-of-the-oceans-and-the-future-of-marine-tjj5e431yh.pdf","The oceans have become a juncture of great visions of blue growth as well as strong environmental concern. This paper discusses the essential role of the social sciences as the oceans increasingly emerge as a contested social arena. The marine social sciences have generated a vast knowledge about the development of fisheries and the implications of fisheries policies on coastal communities. We review this heritage and show that it makes the marine social sciences well qualified to address contemporary challenges raised by the increasing ambitions of exploiting and conserving the world’s oceans. However, with the current transformation of the oceans as sites of comprehensive industrialization, captured in the concept of blue growth, we argue that marine social scientists need to rethink their research objectives. This requires a reflection on the lessons learned from decades of engagement with fisheries and fisheries policy to understand and intervene in processes and practices of modernization, science-based management, and privatization of resources. We suggest how the marine social sciences can provide new knowledge and actively engage in current developments by studying emergent processes in the marine environment, and the institutions, practices, and discourses that shape them. The social sciences have a responsibility to contribute to growth and conservation issues, and are in the capacity to do so, through formulating governance alternatives, anticipating future trends, imagining desirable futures, and facilitating socially just processes and outcomes.","Title: The transformation of the oceans and the future of marine social science Authors: Peter Arbo,Maaike Knol,Sebastian Linke,Kevin St,Martin"
"Land-Sea Interactions and the Ecosystem Approach in Ocean Planning and Governance","https://scispace.com/paper/land-sea-interactions-and-the-ecosystem-approach-in-ocean-3t4ftexk1q","2018","Book Chapter","","Sue Kidd","10.1163/9789004389984_006","https://scispace.com/pdf/land-sea-interactions-and-the-ecosystem-approach-in-ocean-3t4ftexk1q.pdf","When contemplating planning and governance of human development it is perhaps typical to focus attention on the land. However, as this volume demonstrates it is also important to remember that the sea covers more than two thirds of our planet’s surface and provides a wide range of essential goods and services upon which humans, and ultimately all life on Earth, depend. Indeed, land-sea interactions (LSI) have been significant in shaping patterns of human activity on both land and sea since ancient times. For example, humans have always looked to the sea for food, transport and trade, waste disposal and cultural and spiritual fulfilment, and coastal areas have been favoured places for human settlement. Today 16 of the world’s 23 mega cities (with populations exceeding 10 million) are in coastal locations1 and with the prospect of the global population rising from 7.6 billion in 2017 to over 11 billion by 21002 ongoing urbanisation of coastal areas can be anticipated. Beyond general trends of globalisation and the importance of international connectivity, one of the factors driving contemporary coastal and marine development is that the sea is increasingly being seen as a source of new ‘Blue Growth’ opportunities. Established maritime sectors, such as shipping and offshore oil and gas production, are now frequently accompanied by a range of other offshore uses, such as aquaculture and wind power developments. Technological advances are also opening new business possibilities in sectors such as blue biotechnology, ocean renewable energy and marine mineral extraction3. Alongside these very tangible human interactions with the marine environment, modern science is revealing the reality of less tangible, but in many ways more profound","collectively managed across sectors and borders.22 The project concluded that ocean related education had a key role to play in developing a Blue Society. It also emphasised the need for innovations to promote more integrated forms of governance, a theme returned to below. 7.2:
 Land Sea Interactions and Innovations in 'Territorial' Governance As the Blue Society concept indicates, ocean literacy is concerned with promoting behavioural change not only at an individual level but also at a societal level. Here, it is apparent that in particular innovation in approaches to governance is needed to address the LSI issues outlined earlier and respond to EA ambitions for the integrated management of land, water, and living resources. It is therefore interesting to note that the introduction of new systems of MSP is heralding an era of governance experimentation that is not simply ocean focussed but is also prompting change in established patterns of governance of the land. In Europe, various approaches have been identified which may point useful ways forward. Although it is as yet too early to undertake a detailed analysis of their relative merits in addressing LSI and/or delivering EA integrated management ambitions, some insight may be derived from the outputs of the European MSP Conference on Addressing Land Sea Interactions that took place in 2017. This included expert discussion on the relative strengths and challenges of different approaches from an LSI perspective and some of the key findings are presented below.23 7.2:
 In relation to LSI and ICM based governance approaches these were felt to have a number of important strengths including: having a strong foundation in well-founded ICM principles that reflect EA understanding; an established network of respected ICM initiatives upon which to build; a wide view of integration issues and (due to their mainly non statutory format and local focus) flexibility to integrate many different interests and address issues of particular importance in each local context. On the other hand, it was recognised that the voluntary or project-based format of most ICM initiatives to date made delivering concrete results difficult and that there was a wide variation in the experience of ICM with many gaps in geographical coverage. Perhaps most significantly though in the context of this chapter, it was noted that the local/ coastal focus of most ICM initiatives was not strategic enough to address many LSI issues such as those related to human induced climate change."
"Marine Sociology: Towards a Sustainable Future","https://scispace.com/paper/marine-sociology-towards-a-sustainable-future-3h9h6i0zj6","2023","Repository","","SHIVAM KUMAR PANDEY
Dandempally Vasantha","10.5281/zenodo.8242232","https://scispace.compdf/marine-sociology-towards-a-sustainable-future-3h9h6i0zj6.pdf","","Heck, N., & Thomsen, M., ""Marine co-management and legal pluralism: How an interdisciplinary approach can help to understand processes for natural resource management,"" 136 Ocean & Coastal Management 139-147 (2017). 19 Conclusion:
 Bavinck, M., ""The social life of marine tenure: From fishers' rights to human rights,"" (Routledge 2016). 20 Gutiérrez, N. L., Hilborn, R., & Defeo, O., ""Leadership, social capital and incentives promote successful fisheries,"" 470 Nature 386-389 (2011). 21 Conclusion:
 Hatcher, A., & Zavestoski, S. (Eds.), ""Sociology of Environmental Health,"" (Rowman & Littlefield 2019)."
