StopID,StopName,Notes
LH01,Port-Center / Pointe de Floride,Intro; archive ship horns; briny air
LH02,ENGIE H2 Pilot (Port 2000),Electrolyser whirr; faint ozone
LH03,Container Terminal 5G Testbed,RTG beeps; AGV vibration
LH04,Quai de l'Europe (Cruise / OPS),Transformer hum; engine silence; warm cable
LH05,FSRU LNG Anchorage (off Antifer),Compressor pulse; vapor plume; strong wind
LH06,Bassin Théophile-Ducrocq,Metal clangs; anti-corrosion paint scent
LH07,Quartier de l'Eure,Echoing sheds; coffee roaster aroma
LH08,Saint-François Fish-Market Pier,Seagull chorus; fish-ice crunch; diesel exhaust
LH09,MuMa Terrace / Sea Wall,Wind buffeting; panorama turbines/ships
LH10,Le Havre 5G Lab (Hangar 16),Crane-control pings; VR twin overload
LH11,Antifer LNG Terminal Revamp,Methane chill plume; compressor rhythm
LH12,Port-Jerôme Bio-SynGas Plant,Woody pyro-aroma; thermal buzz
LH13,ULH Multi-Source Energy Test Bench,Battery click cycles; lab ozone tang
