query_id,sector_slug,query_family,query_text,provider,provider_canonical,execution_status,returned_record_count,normalized_record_count,contributed_record_count,raw_record_count,accepted_record_count,excluded_outside_time_window_count,excluded_missing_year_count,from_year,to_year,declared_sort_strategy,sort_status,declared_sampling_mode,declared_pages,declared_rows_per_page,sampling_status,time_window_status,requested_constraint_filters,applied_constraint_filters,unsupported_constraint_filters,unapplied_constraint_filters,validity_warnings,errors,warnings
Q_BLUE_BIOTECH_COMP_001,blue_biotech,competence_demand,marine biotechnology workforce skills competences training,crossref,crossref,completed,50,23,23,50,23,23,4,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_BLUE_BIOTECH_COMP_001,blue_biotech,competence_demand,marine biotechnology workforce skills competences training,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""marine"" AND ""biotechnology"" AND ""workforce"" AND ""skills"" AND ""competences"" AND ""training"")'; requested_count=50; applied_count=25"
Q_BLUE_BIOTECH_COMP_002,blue_biotech,competence_demand,blue bioeconomy education learning outcomes curriculum qualification,crossref,crossref,completed,50,27,26,50,27,19,4,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_BLUE_BIOTECH_COMP_002,blue_biotech,competence_demand,blue bioeconomy education learning outcomes curriculum qualification,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""blue"" AND ""bioeconomy"" AND ""education"" AND ""learning"" AND ""outcomes"" AND ""curriculum"" AND ""qualification"")'; requested_count=50; applied_count=25"
Q_BLUE_BIOTECH_CORE_001,blue_biotech,core_sector,marine biotechnology blue bioeconomy innovation governance,crossref,crossref,completed,50,45,45,50,45,3,2,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_BLUE_BIOTECH_CORE_001,blue_biotech,core_sector,marine biotechnology blue bioeconomy innovation governance,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""marine"" AND ""biotechnology"" AND ""blue"" AND ""bioeconomy"" AND ""innovation"" AND ""governance"")'; requested_count=50; applied_count=25"
Q_BLUE_BIOTECH_CORE_002,blue_biotech,core_sector,bioprospecting marine genetic resources benefit sharing,crossref,crossref,completed,50,18,18,50,18,32,0,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_BLUE_BIOTECH_CORE_002,blue_biotech,core_sector,bioprospecting marine genetic resources benefit sharing,scopus,scopus,completed,25,14,14,25,14,11,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""bioprospecting"" AND ""marine"" AND ""genetic"" AND ""resources"" AND ""benefit"" AND ""sharing"")'; requested_count=50; applied_count=25"
Q_BLUE_BIOTECH_CORE_003,blue_biotech,core_sector,marine biomaterials pharmaceuticals bioremediation sustainability,crossref,crossref,completed,50,39,24,50,39,9,2,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_BLUE_BIOTECH_CORE_003,blue_biotech,core_sector,marine biomaterials pharmaceuticals bioremediation sustainability,scopus,scopus,completed,2,2,2,2,2,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""marine"" AND ""biomaterials"" AND ""pharmaceuticals"" AND ""bioremediation"" AND ""sustainability"")'; requested_count=50; applied_count=25"
Q_BLUE_BIOTECH_EMRG_001,blue_biotech,emerging_demand,marine biotechnology AI digital twin sustainability just transition,crossref,crossref,completed,50,45,45,50,45,1,4,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_BLUE_BIOTECH_EMRG_001,blue_biotech,emerging_demand,marine biotechnology AI digital twin sustainability just transition,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""marine"" AND ""biotechnology"" AND ""AI"" AND ""digital"" AND ""twin"" AND ""sustainability"" AND ""just"" AND ""transition"")'; requested_count=50; applied_count=25"
Q_BLUE_BIOTECH_EMRG_002,blue_biotech,emerging_demand,marine genetic resources ocean literacy governance climate adaptation,crossref,crossref,completed,50,17,17,50,17,29,4,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_BLUE_BIOTECH_EMRG_002,blue_biotech,emerging_demand,marine genetic resources ocean literacy governance climate adaptation,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""marine"" AND ""genetic"" AND ""resources"" AND ""ocean"" AND ""literacy"" AND ""governance"" AND ""climate"" AND ""adaptation"")'; requested_count=50; applied_count=25"
Q_BLUE_BIOTECH_HYP_001,blue_biotech,hypothesis_verification,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,crossref,crossref,completed,50,23,18,50,23,20,7,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_BLUE_BIOTECH_HYP_001,blue_biotech,hypothesis_verification,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""blue"" AND ""biotech"" AND ""maritimisation"" AND ""marinization"" AND ""oceanisation"" AND ""hydrosocial"" AND ""de-base-re"" AND ""hypothesis"" AND ""verification"" AND ""indicators"")'; requested_count=50; applied_count=25"
Q_BLUE_BIOTECH_THY_001,blue_biotech,theory_translation,blue biotech qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,crossref,crossref,completed,50,39,39,50,39,10,1,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_BLUE_BIOTECH_THY_001,blue_biotech,theory_translation,blue biotech qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""blue"" AND ""biotech"" AND ""qmbd"" AND ""axis"" AND ""translation"" AND ""marine"" AND ""maritime"" AND ""oceanic"" AND ""hydronization"" AND ""theory"" AND ""terms"" AND ""taxonomy"" AND ""mapping"")'; requested_count=50; applied_count=25"
Q_BLUE_BIOTECH_VAL_001,blue_biotech,validation_eqf_translation,marine biotechnology EQF qualification framework micro-credential professional development,crossref,crossref,completed,50,35,35,50,35,12,3,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_BLUE_BIOTECH_VAL_001,blue_biotech,validation_eqf_translation,marine biotechnology EQF qualification framework micro-credential professional development,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""marine"" AND ""biotechnology"" AND ""EQF"" AND ""qualification"" AND ""framework"" AND ""micro"" AND ""credential"" AND ""professional"" AND ""development"")'; requested_count=50; applied_count=25"
Q_COASTAL_TOURISM_COMP_001,coastal_tourism,competence_demand,coastal tourism workforce skills competences training professional development,crossref,crossref,completed,50,34,33,50,34,12,4,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_COASTAL_TOURISM_COMP_001,coastal_tourism,competence_demand,coastal tourism workforce skills competences training professional development,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""coastal"" AND ""tourism"" AND ""workforce"" AND ""skills"" AND ""competences"" AND ""training"" AND ""professional"" AND ""development"")'; requested_count=50; applied_count=25"
Q_COASTAL_TOURISM_COMP_002,coastal_tourism,competence_demand,marine ecotourism education learning outcomes curriculum qualification,crossref,crossref,completed,50,15,15,50,15,30,5,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,Crossref retry search: attempt=1 http_status=429 retry_after_seconds=None backoff_seconds=1.0 jitter_seconds=0.395 wait_seconds=1.395|Crossref retry terminal_status=success attempt=2
Q_COASTAL_TOURISM_COMP_002,coastal_tourism,competence_demand,marine ecotourism education learning outcomes curriculum qualification,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""marine"" AND ""ecotourism"" AND ""education"" AND ""learning"" AND ""outcomes"" AND ""curriculum"" AND ""qualification"")'; requested_count=50; applied_count=25"
Q_COASTAL_TOURISM_CORE_001,coastal_tourism,core_sector,coastal tourism sustainability overtourism management,crossref,crossref,completed,50,49,43,50,49,1,0,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_COASTAL_TOURISM_CORE_001,coastal_tourism,core_sector,coastal tourism sustainability overtourism management,scopus,scopus,completed,8,8,8,8,8,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""coastal"" AND ""tourism"" AND ""sustainability"" AND ""overtourism"" AND ""management"")'; requested_count=50; applied_count=25"
Q_COASTAL_TOURISM_CORE_002,coastal_tourism,core_sector,marine ecotourism blue economy livelihoods governance,crossref,crossref,completed,50,34,31,50,34,14,2,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_COASTAL_TOURISM_CORE_002,coastal_tourism,core_sector,marine ecotourism blue economy livelihoods governance,scopus,scopus,completed,1,1,1,1,1,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""marine"" AND ""ecotourism"" AND ""blue"" AND ""economy"" AND ""livelihoods"" AND ""governance"")'; requested_count=50; applied_count=25"
Q_COASTAL_TOURISM_CORE_003,coastal_tourism,core_sector,cruise tourism environmental impact governance,crossref,crossref,completed,50,21,20,50,21,29,0,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_COASTAL_TOURISM_CORE_003,coastal_tourism,core_sector,cruise tourism environmental impact governance,scopus,scopus,completed,19,12,12,19,12,7,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""cruise"" AND ""tourism"" AND ""environmental"" AND ""impact"" AND ""governance"")'; requested_count=50; applied_count=25"
Q_COASTAL_TOURISM_EMRG_001,coastal_tourism,emerging_demand,coastal tourism climate adaptation resilience just transition safety,crossref,crossref,completed,50,24,23,50,24,18,8,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_COASTAL_TOURISM_EMRG_001,coastal_tourism,emerging_demand,coastal tourism climate adaptation resilience just transition safety,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""coastal"" AND ""tourism"" AND ""climate"" AND ""adaptation"" AND ""resilience"" AND ""just"" AND ""transition"" AND ""safety"")'; requested_count=50; applied_count=25"
Q_COASTAL_TOURISM_EMRG_002,coastal_tourism,emerging_demand,coastal tourism AI digital twin ocean literacy hydrosocial,crossref,crossref,completed,50,29,28,50,29,20,1,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_COASTAL_TOURISM_EMRG_002,coastal_tourism,emerging_demand,coastal tourism AI digital twin ocean literacy hydrosocial,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""coastal"" AND ""tourism"" AND ""AI"" AND ""digital"" AND ""twin"" AND ""ocean"" AND ""literacy"" AND ""hydrosocial"")'; requested_count=50; applied_count=25"
Q_COASTAL_TOURISM_HYP_001,coastal_tourism,hypothesis_verification,coastal tourism maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,crossref,crossref,completed,50,21,21,50,21,24,5,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_COASTAL_TOURISM_HYP_001,coastal_tourism,hypothesis_verification,coastal tourism maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""coastal"" AND ""tourism"" AND ""maritimisation"" AND ""marinization"" AND ""oceanisation"" AND ""hydrosocial"" AND ""de-base-re"" AND ""hypothesis"" AND ""verification"" AND ""indicators"")'; requested_count=50; applied_count=25"
Q_COASTAL_TOURISM_THY_001,coastal_tourism,theory_translation,coastal tourism qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,crossref,crossref,completed,50,24,23,50,24,23,3,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
Q_COASTAL_TOURISM_THY_001,coastal_tourism,theory_translation,coastal tourism qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,scopus,scopus,completed,0,0,0,0,0,0,0,2019,2026,date-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,"Scopus diagnostics: projected_query='TITLE-ABS-KEY(""coastal"" AND ""tourism"" AND ""qmbd"" AND ""axis"" AND ""translation"" AND ""marine"" AND ""maritime"" AND ""oceanic"" AND ""hydronization"" AND ""theory"" AND ""terms"" AND ""taxonomy"" AND ""mapping"")'; requested_count=50; applied_count=25"
Q_COASTAL_TOURISM_VAL_001,coastal_tourism,validation_eqf_translation,coastal tourism EQF qualification framework micro-credential learning outcomes,crossref,crossref,completed,50,41,41,50,41,8,1,2019,2026,published-desc,applied_post_fetch,stratified,3,50,partially_applied_registry_has_no_page_cursor,applied_post_fetch,sampling_strategy|sort_strategy|time_window,sort_strategy|time_window,,sampling_strategy,filter_not_applied:multi_page_sampling,,
