sector,provider,query,record_count
Blue Biotech,crossref,marine biotechnology blue bioeconomy innovation governance,45
Blue Biotech,scopus,marine biotechnology blue bioeconomy innovation governance,0
Blue Biotech,crossref,bioprospecting marine genetic resources benefit sharing,18
Blue Biotech,scopus,bioprospecting marine genetic resources benefit sharing,14
Blue Biotech,crossref,marine biomaterials pharmaceuticals bioremediation sustainability,39
Blue Biotech,scopus,marine biomaterials pharmaceuticals bioremediation sustainability,2
Blue Biotech,crossref,marine biotechnology workforce skills competences training,23
Blue Biotech,scopus,marine biotechnology workforce skills competences training,0
Blue Biotech,crossref,blue bioeconomy education learning outcomes curriculum qualification,27
Blue Biotech,scopus,blue bioeconomy education learning outcomes curriculum qualification,0
Blue Biotech,crossref,marine biotechnology AI digital twin sustainability just transition,45
Blue Biotech,scopus,marine biotechnology AI digital twin sustainability just transition,0
Blue Biotech,crossref,marine genetic resources ocean literacy governance climate adaptation,17
Blue Biotech,scopus,marine genetic resources ocean literacy governance climate adaptation,0
Blue Biotech,crossref,marine biotechnology EQF qualification framework micro-credential professional development,35
Blue Biotech,scopus,marine biotechnology EQF qualification framework micro-credential professional development,0
Blue Biotech,crossref,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,23
Blue Biotech,scopus,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Blue Biotech,crossref,blue biotech qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,39
Blue Biotech,scopus,blue biotech qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Coastal Tourism,crossref,coastal tourism sustainability overtourism management,49
Coastal Tourism,scopus,coastal tourism sustainability overtourism management,8
Coastal Tourism,crossref,marine ecotourism blue economy livelihoods governance,34
Coastal Tourism,scopus,marine ecotourism blue economy livelihoods governance,1
Coastal Tourism,crossref,cruise tourism environmental impact governance,21
Coastal Tourism,scopus,cruise tourism environmental impact governance,12
Coastal Tourism,crossref,coastal tourism workforce skills competences training professional development,34
Coastal Tourism,scopus,coastal tourism workforce skills competences training professional development,0
Coastal Tourism,crossref,marine ecotourism education learning outcomes curriculum qualification,15
Coastal Tourism,scopus,marine ecotourism education learning outcomes curriculum qualification,0
Coastal Tourism,crossref,coastal tourism climate adaptation resilience just transition safety,24
Coastal Tourism,scopus,coastal tourism climate adaptation resilience just transition safety,0
Coastal Tourism,crossref,coastal tourism AI digital twin ocean literacy hydrosocial,29
Coastal Tourism,scopus,coastal tourism AI digital twin ocean literacy hydrosocial,0
Coastal Tourism,crossref,coastal tourism EQF qualification framework micro-credential learning outcomes,41
Coastal Tourism,scopus,coastal tourism EQF qualification framework micro-credential learning outcomes,0
Coastal Tourism,crossref,coastal tourism maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,21
Coastal Tourism,scopus,coastal tourism maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Coastal Tourism,crossref,coastal tourism qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,24
Coastal Tourism,scopus,coastal tourism qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Desalination,crossref,desalination brine management environmental impact governance,23
